N,P,X,Cmap,Parents,Children
33,0.0,5,26816,24368,25152
34,0.0,1,43784,36968,37776
34,0.0,2,40936,41456,42264
34,0.0,3,28712,23296,24104
34,0.0,4,35064,45048,45856
34,0.0,5,43408,43160,43968
35,0.0,1,44552,35784,36616
35,0.0,2,42856,35936,36768
35,0.0,3,36560,29352,30168
35,0.0,4,46664,33232,34064
35,0.0,5,34240,26424,27256
36,0.0,1,30704,22840,23696
36,0.0,2,30432,19720,20560
36,0.0,3,40592,36128,36984
36,0.0,4,42256,29912,30768
36,0.0,5,59568,39848,40704
37,0.0,1,32928,22664,23528
37,0.0,2,57360,53104,53984
37,0.0,3,80488,52232,53112
37,0.0,4,36472,24352,25232
37,0.0,5,52736,41448,42328
38,0.0,1,28248,23336,24240
38,0.0,2,60080,44872,45776
38,0.0,3,31888,21920,22824
38,0.0,4,41864,30624,31512
38,0.0,5,38104,24784,25688
39,0.0,1,42480,36232,37160
39,0.0,2,59808,45088,46016
39,0.0,3,34320,27000,27928
39,0.0,4,52528,43280,44208
39,0.0,5,55568,40576,41504
40,0.0,1,35984,29088,30024
40,0.0,2,51576,39344,40296
40,0.0,3,36984,28048,29000
40,0.0,4,83512,62840,63792
40,0.0,5,44992,33976,34928
41,0.0,1,44136,48984,49960
41,0.0,2,54904,32904,33880
41,0.0,3,34448,21824,22800
41,0.0,4,62432,35264,36240
41,0.0,5,64032,49208,50184
42,0.0,1,45072,45120,46120
42,0.0,2,53200,30600,31600
42,0.0,3,67488,42128,43128
42,0.0,4,37576,28672,29672
42,0.0,5,43392,33536,34520
43,0.0,1,44712,34208,35232
43,0.0,2,48296,35800,36824
43,0.0,3,57480,44488,45512
43,0.0,4,64672,43600,44624
43,0.0,5,29440,25712,26736
44,0.0,1,48368,30536,31584
44,0.0,2,67928,41048,42080
44,0.0,3,57704,36704,37752
44,0.0,4,55184,44544,45592
44,0.0,5,64240,45512,46560
45,0.0,1,48264,34704,35776
45,0.0,2,48288,28080,29152
45,0.0,3,66144,49152,50224
45,0.0,4,65216,42336,43408
45,0.0,5,52752,38256,39328
46,0.0,1,47488,25064,26160
46,0.0,2,61696,47072,48168
46,0.0,3,65512,44072,45168
46,0.0,4,39088,33840,34936
46,0.0,5,62360,43976,45072
47,0.0,1,38920,29552,30672
47,0.0,2,77480,58896,60016
47,0.0,3,69024,47072,48176
47,0.0,4,75048,48976,50096
47,0.0,5,48216,47904,49024
48,0.0,1,87488,53424,54568
48,0.0,2,52200,37552,38696
48,0.0,3,66552,52440,53584
48,0.0,4,38656,31848,32992
48,0.0,5,102912,68816,69960
49,0.0,1,67088,42216,43384
49,0.0,2,93824,57512,58680
49,0.0,3,70200,57776,58944
49,0.0,4,94760,52616,53784
49,0.0,5,58880,35992,37160
50,0.0,1,58688,52008,53200
50,0.0,2,52528,38800,39992
50,0.0,3,80312,54856,56048
50,0.0,4,65128,43480,44672
50,0.0,5,78184,55856,57048
51,0.0,1,64088,42232,43448
51,0.0,2,37808,31264,32480
51,0.0,3,59344,42528,43744
51,0.0,4,81680,56640,57856
51,0.0,5,94144,64392,65608
52,0.0,1,57808,47176,48416
52,0.0,2,76984,46920,48160
52,0.0,3,84808,53912,55152
52,0.0,4,61800,48736,49976
52,0.0,5,61808,43664,44904
53,0.0,1,60552,32192,33456
53,0.0,2,91888,46184,47448
53,0.0,3,109520,66824,68088
53,0.0,4,93248,58552,59816
53,0.0,5,80544,52328,53592
54,0.0,1,62264,30368,31656
54,0.0,2,60528,50000,51288
54,0.0,3,86152,44976,46264
54,0.0,4,130592,74408,75696
54,0.0,5,85160,64672,65960
55,0.0,1,79440,50312,51624
55,0.0,2,97536,61200,62512
55,0.0,3,81992,51384,52696
55,0.0,4,115568,53680,54992
55,0.0,5,72688,54448,55760
56,0.0,1,61896,43680,45016
56,0.0,2,75224,54864,56200
56,0.0,3,90408,54632,55968
56,0.0,4,86088,43424,44760
56,0.0,5,82192,50064,51400
57,0.0,1,97904,63064,64424
57,0.0,2,110656,63504,64864
57,0.0,3,56408,40272,41632
57,0.0,4,68048,46608,47968
57,0.0,5,92072,49232,50592
58,0.0,1,99872,65400,66784
58,0.0,2,88288,45288,46672
58,0.0,3,95848,61688,63072
58,0.0,4,91808,52232,53616
58,0.0,5,130152,82200,83584
59,0.0,1,88704,59792,61200
59,0.0,2,92120,57088,58496
59,0.0,3,68488,33600,35008
59,0.0,4,50248,34440,35848
59,0.0,5,130568,69920,71312
60,0.0,1,102016,53432,54864
60,0.0,2,62480,31608,33040
60,0.0,3,92952,48712,50144
60,0.0,4,109856,60312,61744
60,0.0,5,77576,47952,49384
61,0.0,1,145728,82744,84200
61,0.0,2,59856,34000,35456
61,0.0,3,87984,54056,55512
61,0.0,4,78120,57088,58544
61,0.0,5,106408,67616,69072
62,0.0,1,85760,58824,60304
62,0.0,2,126456,69768,71248
62,0.0,3,124224,65072,66552
62,0.0,4,111336,66160,67640
62,0.0,5,111184,61296,62776
63,0.0,1,101560,55936,57440
63,0.0,2,86776,49304,50808
63,0.0,3,120000,74880,76384
63,0.0,4,118064,67072,68576
63,0.0,5,133496,63944,65448
64,0.0,1,132976,64560,66088
64,0.0,2,90656,49056,50584
64,0.0,3,97432,49824,51352
64,0.0,4,97056,54872,56400
64,0.0,5,84312,55912,57440
65,0.0,1,115560,67712,69264
65,0.0,2,194160,80888,82440
65,0.0,3,119032,63832,65384
65,0.0,4,115120,58856,60392
65,0.0,5,109280,65304,66856
66,0.0,1,125280,59904,61480
66,0.0,2,129728,60328,61904
66,0.0,3,105280,58768,60344
66,0.0,4,158440,72184,73760
66,0.0,5,108456,74728,76304
67,0.0,1,81640,40432,42016
67,0.0,2,156448,72896,74496
67,0.0,3,130176,67696,69296
67,0.0,4,129872,73456,75056
67,0.0,5,119816,65648,67248
68,0.0,1,81632,38096,39720
68,0.0,2,139048,66408,68032
68,0.0,3,108904,56608,58232
68,0.0,4,156496,71112,72736
68,0.0,5,89792,54952,56576
69,0.0,1,168048,80456,82104
69,0.0,2,168016,96072,97720
69,0.0,3,91040,62904,64552
69,0.0,4,103952,63024,64672
69,0.0,5,126976,69744,71392
70,0.0,1,149832,67368,69040
70,0.0,2,137720,68328,70000
70,0.0,3,111976,55424,57096
70,0.0,4,140704,57152,58824
70,0.0,5,176120,92552,94224
71,0.0,1,116704,61000,62696
71,0.0,2,140224,65688,67384
71,0.0,3,92376,61952,63648
71,0.0,4,111152,51392,53088
71,0.0,5,160304,89584,91280
72,0.0,1,161256,75944,77664
72,0.0,2,103240,57544,59264
72,0.0,3,78920,50624,52344
72,0.0,4,153416,65816,67536
72,0.0,5,169176,68912,70632
73,0.0,1,143528,70536,72280
73,0.0,2,125408,68520,70264
73,0.0,3,118064,67496,69240
73,0.0,4,121840,67808,69552
73,0.0,5,162136,72640,74384
74,0.0,1,183320,81968,83736
74,0.0,2,128320,71368,73136
74,0.0,3,102480,55360,57128
74,0.0,4,122536,63016,64784
