N,P,X,Cmap,ExecEnv
1,0.0,1,3992,88
1,0.0,2,3976,88
1,0.0,3,4008,88
1,0.0,4,4008,88
1,0.0,5,4008,88
2,0.0,1,4512,400
2,0.0,2,4416,600
2,0.0,3,7808,5832
2,0.0,4,4448,752
2,0.0,5,4432,1464
3,0.0,1,4864,1176
3,0.0,2,8776,5488
3,0.0,3,4904,1032
3,0.0,4,4832,1432
3,0.0,5,4520,752
4,0.0,1,8368,6040
4,0.0,2,5256,1912
4,0.0,3,5280,1512
4,0.0,4,5240,1752
4,0.0,5,5008,2392
5,0.0,1,5712,1616
5,0.0,2,5664,2440
5,0.0,3,5672,2472
5,0.0,4,10992,6640
5,0.0,5,5688,1960
6,0.0,1,6232,2480
6,0.0,2,13360,9752
6,0.0,3,6152,10392
6,0.0,4,10048,7096
6,0.0,5,5736,3528
7,0.0,1,8160,4904
7,0.0,2,7592,11752
7,0.0,3,21736,18752
7,0.0,4,7144,4952
7,0.0,5,12560,6704
8,0.0,1,9200,5568
8,0.0,2,12832,7000
8,0.0,3,13784,7728
8,0.0,4,13296,7568
8,0.0,5,7304,4344
9,0.0,1,17176,14144
9,0.0,2,16320,11432
9,0.0,3,11704,6256
9,0.0,4,7624,3640
9,0.0,5,12320,16392
10,0.0,1,12280,9416
10,0.0,2,17032,10752
10,0.0,3,8216,4536
10,0.0,4,18560,10976
10,0.0,5,20392,16928
11,0.0,1,8976,4656
11,0.0,2,13168,11616
11,0.0,3,16664,9976
11,0.0,4,24104,15560
11,0.0,5,8632,9096
12,0.0,1,20304,13048
12,0.0,2,18968,11744
12,0.0,3,9112,5112
12,0.0,4,22336,15936
12,0.0,5,11824,9944
13,0.0,1,17784,13904
13,0.0,2,21928,14480
13,0.0,3,15544,9744
13,0.0,4,18656,10952
13,0.0,5,13160,11688
14,0.0,1,20232,19520
14,0.0,2,10960,5512
14,0.0,3,17216,12224
14,0.0,4,14504,9592
14,0.0,5,16112,10152
15,0.0,1,40056,28232
15,0.0,2,12952,8008
15,0.0,3,22312,13544
15,0.0,4,15832,13920
15,0.0,5,23888,16176
16,0.0,1,10888,10976
16,0.0,2,20848,13216
16,0.0,3,20120,16776
16,0.0,4,21880,18744
16,0.0,5,20960,17280
17,0.0,1,29280,24456
17,0.0,2,11752,8032
17,0.0,3,27936,16704
17,0.0,4,29520,23448
17,0.0,5,27896,17440
18,0.0,1,28200,18432
18,0.0,2,20056,14808
18,0.0,3,24160,21992
18,0.0,4,31952,29064
18,0.0,5,12264,9360
19,0.0,1,14392,14040
19,0.0,2,22608,17832
19,0.0,3,22280,13240
19,0.0,4,29328,23200
19,0.0,5,34360,25960
20,0.0,1,19952,15808
20,0.0,2,14112,18472
20,0.0,3,32856,29824
20,0.0,4,16112,9992
20,0.0,5,27144,21576
21,0.0,1,38640,25840
21,0.0,2,15776,14216
21,0.0,3,20160,14600
21,0.0,4,24000,14920
21,0.0,5,30864,25400
22,0.0,1,15896,13968
22,0.0,2,21248,22800
22,0.0,3,22216,21512
22,0.0,4,42872,37408
22,0.0,5,21880,17688
23,0.0,1,38256,29032
23,0.0,2,30328,26808
23,0.0,3,20536,12680
23,0.0,4,38848,31664
23,0.0,5,33696,36664
24,0.0,1,32504,30096
24,0.0,2,32904,35624
24,0.0,3,33496,26296
24,0.0,4,37480,23576
24,0.0,5,26232,21720
25,0.0,1,25056,31568
25,0.0,2,34608,23288
25,0.0,3,15560,10632
25,0.0,4,41264,32128
25,0.0,5,29720,20288
26,0.0,1,19776,14520
26,0.0,2,43472,35504
26,0.0,3,29824,21768
26,0.0,4,29672,29656
26,0.0,5,28512,25400
27,0.0,1,30944,20416
27,0.0,2,37752,27112
27,0.0,3,25440,20176
27,0.0,4,19536,16384
27,0.0,5,24608,22144
28,0.0,1,39672,37104
28,0.0,2,34264,24720
28,0.0,3,36512,30328
28,0.0,4,31656,26736
28,0.0,5,54616,39880
29,0.0,1,23112,21992
29,0.0,2,58816,42936
29,0.0,3,42920,37112
29,0.0,4,45248,29864
29,0.0,5,33520,26312
30,0.0,1,25720,19488
30,0.0,2,32136,27920
30,0.0,3,32032,25840
30,0.0,4,36560,39456
30,0.0,5,23784,20256
31,0.0,1,36672,26168
31,0.0,2,42056,33696
31,0.0,3,48856,38944
31,0.0,4,25440,21336
31,0.0,5,41248,40768
32,0.0,1,38552,31816
32,0.0,2,41048,34984
32,0.0,3,29840,32304
32,0.0,4,36072,32216
32,0.0,5,37656,28272
33,0.0,1,28272,30048
33,0.0,2,33288,38160
33,0.0,3,50272,40840
33,0.0,4,31184,26176
33,0.0,5,33336,26304
34,0.0,1,46304,38960
34,0.0,2,39488,43448
34,0.0,3,29000,25288
34,0.0,4,39616,47040
34,0.0,5,48448,45152
35,0.0,1,44400,37832
