N,P,X,Cmap,ExecEnv
300,0.7,1,4953592,220968
300,0.7,2,4953592,224864
300,0.7,3,4953592,223576
300,0.7,4,4953592,203696
300,0.7,5,4953592,233576
400,0.7,1,6604792,297200
400,0.7,2,6604792,299128
400,0.7,3,6604792,295224
400,0.7,4,6604792,293600
400,0.7,5,6604792,295928
500,0.7,1,8255992,369656
500,0.7,2,8255992,374344
500,0.7,3,8255992,364968
500,0.7,4,8255992,370712
500,0.7,5,8255992,372008
100,0.8,1,1651192,70512
100,0.8,2,1651192,69464
100,0.8,3,1651192,69464
100,0.8,4,1651192,70976
100,0.8,5,1651192,72720
200,0.8,1,3302392,143088
200,0.8,2,3302392,154488
200,0.8,3,3302392,148200
200,0.8,4,3302392,143264
200,0.8,5,3302392,154352
300,0.8,1,4953592,231256
300,0.8,2,4953592,234952
300,0.8,3,4953592,216536
300,0.8,4,4953592,209448
300,0.8,5,4953592,219632
400,0.8,1,6604792,310776
400,0.8,2,6604792,309496
400,0.8,3,6604792,294808
400,0.8,4,6604792,288760
400,0.8,5,6604792,283056
500,0.8,1,8255992,358720
500,0.8,2,8255992,368592
500,0.8,3,8255992,396176
500,0.8,4,8255992,352312
500,0.8,5,8255992,362464
100,0.9,1,1651192,76688
100,0.9,2,1651192,72408
100,0.9,3,1651192,76192
100,0.9,4,1651192,77960
100,0.9,5,1651192,80488
200,0.9,1,3302392,154392
200,0.9,2,3302392,179952
200,0.9,3,3302392,155496
200,0.9,4,3302392,141936
200,0.9,5,3302392,146832
300,0.9,1,4953592,208416
300,0.9,2,4953592,215848
300,0.9,3,4953592,221008
300,0.9,4,4953592,218208
300,0.9,5,4953592,210000
400,0.9,1,6604792,285408
400,0.9,2,6604792,300208
400,0.9,3,6604792,294904
400,0.9,4,6604792,298504
400,0.9,5,6604792,286320
500,0.9,1,8255992,380672
500,0.9,2,8255992,395312
500,0.9,3,8255992,375456
500,0.9,4,8255992,378952
500,0.9,5,8255992,383440
100,1.0,1,1651192,72000
100,1.0,2,1651192,77136
100,1.0,3,1651192,78896
100,1.0,4,1651192,69128
100,1.0,5,1651192,66072
200,1.0,1,3302392,144512
200,1.0,2,3302392,162488
200,1.0,3,3302392,144752
200,1.0,4,3302392,134760
200,1.0,5,3302392,150200
300,1.0,1,4953592,226664
300,1.0,2,4953592,241616
300,1.0,3,4953592,248360
300,1.0,4,4953592,221760
300,1.0,5,4953592,224128
400,1.0,1,6604792,288432
400,1.0,2,6604792,299216
400,1.0,3,6604792,304448
400,1.0,4,6604792,320016
400,1.0,5,6604792,287504
500,1.0,1,8255992,339824
500,1.0,2,8255992,379456
500,1.0,3,8255992,374784
500,1.0,4,8255992,384168
500,1.0,5,8255992,366952
