N,P,X,Cmap,ExecEnv
1,0.0,1,2024,88
1,0.0,2,2024,88
1,0.0,3,2024,88
1,0.0,4,2024,88
1,0.0,5,2024,88
2,0.0,1,3128,1152
2,0.0,2,2856,3384
2,0.0,3,2752,968
2,0.0,4,2104,888
2,0.0,5,2104,600
3,0.0,1,2200,1808
3,0.0,2,3224,1480
3,0.0,3,2200,2360
3,0.0,4,2200,2136
3,0.0,5,2848,1464
4,0.0,1,9312,4872
4,0.0,2,3888,1936
4,0.0,3,3232,2800
4,0.0,4,7880,4016
4,0.0,5,2584,2944
5,0.0,1,3040,3336
5,0.0,2,2680,3392
5,0.0,3,4640,3800
5,0.0,4,3040,2296
5,0.0,5,2904,2440
6,0.0,1,8832,5152
6,0.0,2,4024,5968
6,0.0,3,8528,5592
6,0.0,4,2776,8784
6,0.0,5,3936,3272
7,0.0,1,5960,6296
7,0.0,2,9400,5592
7,0.0,3,7696,6096
7,0.0,4,25728,6240
7,0.0,5,3944,5008
8,0.0,1,12520,6712
8,0.0,2,7264,6888
8,0.0,3,11760,7720
8,0.0,4,20864,6920
8,0.0,5,4792,6792
9,0.0,1,7544,4992
9,0.0,2,22544,7640
9,0.0,3,6592,6448
9,0.0,4,6000,5960
9,0.0,5,4816,9344
10,0.0,1,16680,11160
10,0.0,2,5800,5608
10,0.0,3,11512,7248
10,0.0,4,4800,7736
10,0.0,5,16752,10888
11,0.0,1,11864,7320
11,0.0,2,10160,10840
11,0.0,3,4888,6320
11,0.0,4,9872,11040
11,0.0,5,9904,5912
12,0.0,1,5144,7992
12,0.0,2,9944,9248
12,0.0,3,7016,8224
12,0.0,4,11944,11728
12,0.0,5,12784,10112
13,0.0,1,16456,9576
13,0.0,2,6984,8344
13,0.0,3,20272,13848
13,0.0,4,5888,8000
13,0.0,5,7312,10960
14,0.0,1,7816,9520
14,0.0,2,32152,11672
14,0.0,3,13384,12440
14,0.0,4,14992,13320
14,0.0,5,4152,7072
15,0.0,1,22544,15744
15,0.0,2,10672,11568
15,0.0,3,22848,14936
15,0.0,4,11592,10272
15,0.0,5,11184,12472
16,0.0,1,15240,10064
16,0.0,2,8384,12384
16,0.0,3,9208,11648
16,0.0,4,20768,14976
16,0.0,5,16616,12760
17,0.0,1,27768,14808
17,0.0,2,11968,11728
17,0.0,3,19944,13104
17,0.0,4,7808,12072
17,0.0,5,19512,15184
18,0.0,1,8744,13320
18,0.0,2,13456,12840
18,0.0,3,5720,10088
18,0.0,4,18744,13360
18,0.0,5,19664,13824
19,0.0,1,6936,9928
