N,P,X,History
51,0.0,4,122944
51,0.0,5,140816
52,0.0,1,91832
52,0.0,2,109328
52,0.0,3,123512
52,0.0,4,97776
52,0.0,5,92448
53,0.0,1,81648
53,0.0,2,122424
53,0.0,3,156456
53,0.0,4,133976
53,0.0,5,118896
54,0.0,1,81472
54,0.0,2,98128
54,0.0,3,116472
54,0.0,4,184192
54,0.0,5,133080
55,0.0,1,112936
55,0.0,2,139544
55,0.0,3,119112
55,0.0,4,150760
55,0.0,5,113768
56,0.0,1,92800
56,0.0,2,114400
56,0.0,3,129664
56,0.0,4,114352
56,0.0,5,117832
57,0.0,1,143360
57,0.0,2,156608
57,0.0,3,85584
57,0.0,4,100448
57,0.0,5,125472
58,0.0,1,147640
58,0.0,2,119104
58,0.0,3,140104
58,0.0,4,128024
58,0.0,5,188280
59,0.0,1,131856
59,0.0,2,133376
59,0.0,3,89504
59,0.0,4,74136
59,0.0,5,177888
60,0.0,1,138272
60,0.0,2,83656
60,0.0,3,124936
60,0.0,4,153152
60,0.0,5,110800
61,0.0,1,204936
61,0.0,2,82040
61,0.0,3,127512
61,0.0,4,119440
61,0.0,5,154056
62,0.0,1,129752
62,0.0,2,176048
62,0.0,3,169184
62,0.0,4,156504
62,0.0,5,155104
63,0.0,1,139000
63,0.0,2,120616
63,0.0,3,174672
63,0.0,4,164384
63,0.0,5,176600
64,0.0,1,177232
64,0.0,2,124968
64,0.0,3,129968
64,0.0,4,135024
64,0.0,5,124888
65,0.0,1,163432
65,0.0,2,251056
65,0.0,3,163824
65,0.0,4,154344
65,0.0,5,154720
66,0.0,1,166576
66,0.0,2,171616
66,0.0,3,147448
66,0.0,4,206896
66,0.0,5,163760
67,0.0,1,108728
67,0.0,2,206696
67,0.0,3,179464
67,0.0,4,182136
67,0.0,5,166616
68,0.0,1,106016
68,0.0,2,184800
68,0.0,3,148344
68,0.0,4,203944
68,0.0,5,130600
69,0.0,1,223432
69,0.0,2,237520
69,0.0,3,137456
69,0.0,4,148816
69,0.0,5,175832
70,0.0,1,195784
70,0.0,2,182984
70,0.0,3,148160
70,0.0,4,178176
70,0.0,5,241472
71,0.0,1,159400
71,0.0,2,185744
71,0.0,3,137296
71,0.0,4,146008
71,0.0,5,223064
72,0.0,1,214872
72,0.0,2,143472
72,0.0,3,113784
72,0.0,4,199160
72,0.0,5,215416
73,0.0,1,191448
73,0.0,2,172856
73,0.0,3,166648
73,0.0,4,169560
73,0.0,5,209864
74,0.0,1,238864
74,0.0,2,178624
74,0.0,3,140472
74,0.0,4,166800
74,0.0,5,239424
75,0.0,1,294872
75,0.0,2,190944
75,0.0,3,264152
75,0.0,4,179312
75,0.0,5,175536
76,0.0,1,179928
76,0.0,2,157848
76,0.0,3,195280
76,0.0,4,202896
76,0.0,5,254648
77,0.0,1,183128
77,0.0,2,226400
77,0.0,3,184936
