N,P,X,Cmap,Parents,Children
34,0.0,1,44280,38480,39288
34,0.0,2,41056,25896,26704
34,0.0,3,50224,47712,48520
34,0.0,4,45544,38600,39408
34,0.0,5,33488,22904,23696
35,0.0,1,54640,44040,44872
35,0.0,2,35808,33000,33832
35,0.0,3,23320,16368,17184
35,0.0,4,36872,36848,37680
35,0.0,5,48744,35136,35968
36,0.0,1,37840,27200,28056
36,0.0,2,28808,19656,20512
36,0.0,3,25720,21368,22208
36,0.0,4,33768,33056,33912
36,0.0,5,43056,37664,38520
37,0.0,1,32240,26808,27688
37,0.0,2,39248,25904,26784
37,0.0,3,33480,22872,23736
37,0.0,4,62448,50616,51480
37,0.0,5,45264,39032,39912
38,0.0,1,48168,35664,36568
38,0.0,2,35320,22072,22976
38,0.0,3,61152,50552,51456
38,0.0,4,41056,29480,30384
38,0.0,5,47824,41408,42312
39,0.0,1,47168,34856,35784
39,0.0,2,60120,39024,39952
39,0.0,3,40904,28920,29848
39,0.0,4,45200,42104,43032
39,0.0,5,51112,28296,29224
40,0.0,1,41536,31376,32312
40,0.0,2,68152,51288,52240
40,0.0,3,37048,27760,28712
40,0.0,4,46784,41456,42408
40,0.0,5,83936,58512,59464
41,0.0,1,47192,40208,41168
41,0.0,2,64016,47624,48600
41,0.0,3,51280,33712,34688
41,0.0,4,52720,41176,42152
41,0.0,5,84784,67016,67992
42,0.0,1,72792,40368,41368
42,0.0,2,53104,41752,42752
42,0.0,3,52360,37384,38384
42,0.0,4,53432,39704,40688
42,0.0,5,53112,40064,41064
43,0.0,1,60048,37400,38424
43,0.0,2,45872,32296,33320
43,0.0,3,67720,55280,56304
43,0.0,4,50384,29720,30728
43,0.0,5,62680,51888,52912
44,0.0,1,87536,54768,55816
44,0.0,2,66160,38456,39504
44,0.0,3,53280,43416,44464
44,0.0,4,60584,38912,39960
44,0.0,5,50968,37320,38368
45,0.0,1,54520,31608,32664
45,0.0,2,44016,27272,28344
45,0.0,3,59296,43944,45016
45,0.0,4,53200,38056,39128
45,0.0,5,54632,31784,32840
46,0.0,1,44904,33640,34736
46,0.0,2,69120,54816,55912
46,0.0,3,43648,25512,26608
46,0.0,4,62752,44344,45440
46,0.0,5,64456,40624,41720
47,0.0,1,59432,36736,37856
47,0.0,2,51480,35088,36208
47,0.0,3,70456,40800,41920
47,0.0,4,72528,54208,55328
47,0.0,5,61376,42384,43504
