N,P,X,Cmap,ExecEnv
1,0.0,1,3992,88
1,0.0,2,4008,88
1,0.0,3,3976,88
1,0.0,4,3992,88
1,0.0,5,4008,88
2,0.0,1,4424,464
2,0.0,2,4752,664
2,0.0,3,4464,872
2,0.0,4,4528,400
2,0.0,5,4400,864
3,0.0,1,4864,1248
3,0.0,2,4960,760
3,0.0,3,4640,616
3,0.0,4,4864,936
3,0.0,5,4552,792
4,0.0,1,5272,2096
4,0.0,2,5264,1432
4,0.0,3,8816,6088
4,0.0,4,5352,1248
4,0.0,5,5384,1128
5,0.0,1,9808,7648
5,0.0,2,5680,2128
5,0.0,3,8736,4688
5,0.0,4,5792,1608
5,0.0,5,5640,1824
6,0.0,1,10792,7208
6,0.0,2,9192,11888
6,0.0,3,5912,9744
6,0.0,4,5800,7936
6,0.0,5,6152,2616
7,0.0,1,8352,5520
7,0.0,2,20288,13352
7,0.0,3,10152,5632
7,0.0,4,7008,2768
7,0.0,5,16736,9824
8,0.0,1,14744,8712
8,0.0,2,12440,9800
8,0.0,3,17128,11080
8,0.0,4,15088,8712
8,0.0,5,7992,3552
9,0.0,1,13880,14560
9,0.0,2,15368,8880
9,0.0,3,22288,13328
9,0.0,4,8120,3456
9,0.0,5,9456,5520
10,0.0,1,11984,7336
10,0.0,2,8256,4824
10,0.0,3,8800,5760
10,0.0,4,13512,10528
10,0.0,5,8032,8416
11,0.0,1,9728,7816
11,0.0,2,8656,8016
11,0.0,3,17560,17440
11,0.0,4,31528,26800
11,0.0,5,8432,4952
12,0.0,1,11144,10616
12,0.0,2,14808,14560
12,0.0,3,12432,9256
12,0.0,4,8800,6080
12,0.0,5,15824,15840
13,0.0,1,24632,20752
13,0.0,2,10424,5600
13,0.0,3,21592,17544
13,0.0,4,15008,9184
13,0.0,5,10112,7296
14,0.0,1,17320,10128
14,0.0,2,30680,19920
14,0.0,3,19352,23000
14,0.0,4,20896,22176
14,0.0,5,10264,9216
15,0.0,1,16848,11608
15,0.0,2,11120,13304
15,0.0,3,26032,17944
15,0.0,4,29304,19256
15,0.0,5,31224,24392
16,0.0,1,26128,23512
16,0.0,2,30088,23280
16,0.0,3,11512,12272
16,0.0,4,20304,22736
16,0.0,5,25000,16760
17,0.0,1,31144,28056
