N,P,X,Cmap,ExecEnv
100,0.0,1,1651176,79928
100,0.0,2,1651176,71216
100,0.0,3,1651176,90272
100,0.0,4,1651176,137224
100,0.0,5,1651176,100744
200,0.0,1,3302376,230320
200,0.0,2,3302376,220264
200,0.0,3,3302376,208536
200,0.0,4,3302376,177704
200,0.0,5,3302376,234816
300,0.0,1,4953576,310704
300,0.0,2,4953576,281656
300,0.0,3,4953576,289120
300,0.0,4,4953576,303992
300,0.0,5,4953576,281720
100,0.1,1,1651176,103152
100,0.1,2,1651176,101880
100,0.1,3,1651176,100544
100,0.1,4,1651176,122864
100,0.1,5,1651176,92504
200,0.1,1,3302376,215408
200,0.1,2,3302376,209144
200,0.1,3,3302376,218768
200,0.1,4,3302376,195440
200,0.1,5,3302376,204560
300,0.1,1,4953576,291872
300,0.1,2,4953576,301040
300,0.1,3,4953576,297872
300,0.1,4,4953576,272216
300,0.1,5,4953576,330472
100,0.2,1,1651176,99000
100,0.2,2,1651176,127512
100,0.2,3,1651176,140456
100,0.2,4,1651176,103296
100,0.2,5,1651176,99056
200,0.2,1,3302376,211824
200,0.2,2,3302376,195216
200,0.2,3,3302376,224776
200,0.2,4,3302376,194800
200,0.2,5,3302376,202056
300,0.2,1,4953576,347000
300,0.2,2,4953576,337208
300,0.2,3,4953576,304016
300,0.2,4,4953576,312832
300,0.2,5,4953576,303872
100,0.3,1,1651176,112864
100,0.3,2,1651176,122880
100,0.3,3,1651176,84712
100,0.3,4,1651176,91928
100,0.3,5,1651176,90136
200,0.3,1,3302376,198040
200,0.3,2,3302376,174224
200,0.3,3,3302376,222416
200,0.3,4,3302376,181680
200,0.3,5,3302376,201912
300,0.3,1,4953576,288232
300,0.3,2,4953576,318584
300,0.3,3,4953576,314416
300,0.3,4,4953576,317936
300,0.3,5,4953576,300480
100,0.4,1,1651176,99464
100,0.4,2,1651176,90464
100,0.4,3,1651176,106240
100,0.4,4,1651176,106792
100,0.4,5,1651176,88272
200,0.4,1,3302376,201576
200,0.4,2,3302376,212272
200,0.4,3,3302376,237536
200,0.4,4,3302376,207984
200,0.4,5,3302376,215360
300,0.4,1,4953576,279088
300,0.4,2,4953576,307144
300,0.4,3,4953576,326184
300,0.4,4,4953576,303880
300,0.4,5,4953576,295536
100,0.5,1,1651176,101224
100,0.5,2,1651176,100744
100,0.5,3,1651176,102488
100,0.5,4,1651176,93264
100,0.5,5,1651176,95184
200,0.5,1,3302376,217240
200,0.5,2,3302376,229304
200,0.5,3,3302376,206568
200,0.5,4,3302376,209448
200,0.5,5,3302376,222808
300,0.5,1,4953576,262568
300,0.5,2,4953576,320112
300,0.5,3,4953576,336048
300,0.5,4,4953576,297304
300,0.5,5,4953576,271120
100,0.6,1,1651176,74136
100,0.6,2,1651176,90664
100,0.6,3,1651176,99904
100,0.6,4,1651176,84048
100,0.6,5,1651176,125352
200,0.6,1,3302376,179888
200,0.6,2,3302376,188352
200,0.6,3,3302376,192560
200,0.6,4,3302376,214176
200,0.6,5,3302376,180432
300,0.6,1,4953576,272184
300,0.6,2,4953576,313632
300,0.6,3,4953576,277136
300,0.6,4,4953576,273816
300,0.6,5,4953576,286280
100,0.7,1,1651176,92712
100,0.7,2,1651176,103104
100,0.7,3,1651176,94720
100,0.7,4,1651176,105144
100,0.7,5,1651176,82400
200,0.7,1,3302376,168384
200,0.7,2,3302376,206704
200,0.7,3,3302376,238448
200,0.7,4,3302376,205920
200,0.7,5,3302376,197128
300,0.7,1,4953576,336592
300,0.7,2,4953576,315416
300,0.7,3,4953576,288624
300,0.7,4,4953576,308480
300,0.7,5,4953576,281936
100,0.8,1,1651176,115504
100,0.8,2,1651176,69992
100,0.8,3,1651176,96768
100,0.8,4,1651176,75040
100,0.8,5,1651176,85632
200,0.8,1,3302376,241896
200,0.8,2,3302376,199144
200,0.8,3,3302376,189752
200,0.8,4,3302376,201176
200,0.8,5,3302376,202024
300,0.8,1,4953576,280536
300,0.8,2,4953576,309328
300,0.8,3,4953576,286600
300,0.8,4,4953576,293888
300,0.8,5,4953576,294864
100,0.9,1,1651176,82112
100,0.9,2,1651176,72288
100,0.9,3,1651176,113248
100,0.9,4,1651176,89416
100,0.9,5,1651176,100528
200,0.9,1,3302376,193680
200,0.9,2,3302376,176192
200,0.9,3,3302376,202288
200,0.9,4,3302376,213048
200,0.9,5,3302376,203720
300,0.9,1,4953576,283336
300,0.9,2,4953576,310240
300,0.9,3,4953576,267808
300,0.9,4,4953576,298168
300,0.9,5,4953576,247224
100,1.0,1,1651176,116704
100,1.0,2,1651176,121728
100,1.0,3,1651176,86528
100,1.0,4,1651176,85576
100,1.0,5,1651176,90544
200,1.0,1,3302376,214360
200,1.0,2,3302376,211024
200,1.0,3,3302376,201760
200,1.0,4,3302376,187896
200,1.0,5,3302376,224968
300,1.0,1,4953576,352552
300,1.0,2,4953576,278288
300,1.0,3,4953576,306704
300,1.0,4,4953576,290160
300,1.0,5,4953576,303440
