N,P,X,Filesize,Cachesize
40,0.0,5,24576,50560
41,0.0,1,24576,39568
41,0.0,2,24576,38984
41,0.0,3,24576,33536
41,0.0,4,24576,37952
41,0.0,5,24576,60920
42,0.0,1,24576,35496
42,0.0,2,24576,33944
42,0.0,3,24576,21960
42,0.0,4,24576,39864
42,0.0,5,24576,29512
43,0.0,1,24576,31152
43,0.0,2,24576,29632
43,0.0,3,24576,51360
43,0.0,4,24576,30488
43,0.0,5,24576,37304
44,0.0,1,24576,40296
44,0.0,2,24576,38408
44,0.0,3,24576,33320
44,0.0,4,24576,33816
44,0.0,5,24576,40704
45,0.0,1,24576,32752
45,0.0,2,24576,21624
45,0.0,3,24576,31472
45,0.0,4,24576,35272
45,0.0,5,24576,26632
46,0.0,1,24576,30528
46,0.0,2,24576,47944
46,0.0,3,24576,22680
46,0.0,4,24576,34024
46,0.0,5,24576,29808
47,0.0,1,24576,32136
47,0.0,2,24576,27952
47,0.0,3,24576,31176
47,0.0,4,24576,40560
47,0.0,5,24576,39568
48,0.0,1,24576,38568
48,0.0,2,28672,51640
48,0.0,3,24576,28232
48,0.0,4,24576,27864
48,0.0,5,28672,42488
49,0.0,1,24576,40632
49,0.0,2,28672,49952
49,0.0,3,24576,36944
49,0.0,4,24576,41096
49,0.0,5,24576,41192
50,0.0,1,28672,47672
50,0.0,2,28672,52808
50,0.0,3,24576,32952
50,0.0,4,24576,30560
50,0.0,5,24576,40704
51,0.0,1,24576,33168
51,0.0,2,24576,28208
51,0.0,3,28672,44544
51,0.0,4,28672,44808
51,0.0,5,24576,31088
52,0.0,1,24576,42960
52,0.0,2,24576,35912
52,0.0,3,24576,51240
52,0.0,4,24576,30440
52,0.0,5,24576,45168
53,0.0,1,28672,48608
53,0.0,2,24576,36224
53,0.0,3,24576,39056
53,0.0,4,28672,39808
53,0.0,5,28672,49216
54,0.0,1,28672,37920
54,0.0,2,24576,23504
54,0.0,3,24576,49096
54,0.0,4,28672,42256
54,0.0,5,24576,33224
55,0.0,1,28672,49888
55,0.0,2,24576,29048
55,0.0,3,28672,36288
55,0.0,4,28672,54352
55,0.0,5,24576,44600
56,0.0,1,28672,32552
56,0.0,2,28672,38624
56,0.0,3,28672,42792
56,0.0,4,28672,46792
56,0.0,5,28672,50808
57,0.0,1,24576,33264
57,0.0,2,28672,51544
57,0.0,3,28672,35016
57,0.0,4,28672,53072
57,0.0,5,28672,48816
58,0.0,1,28672,49552
58,0.0,2,28672,41320
58,0.0,3,28672,45232
58,0.0,4,28672,57416
58,0.0,5,28672,41360
59,0.0,1,28672,53968
59,0.0,2,24576,38752
59,0.0,3,28672,36936
59,0.0,4,24576,31976
59,0.0,5,28672,39824
60,0.0,1,28672,55424
60,0.0,2,28672,46416
60,0.0,3,28672,52008
60,0.0,4,28672,53760
60,0.0,5,28672,36720
61,0.0,1,28672,45568
61,0.0,2,32768,55536
61,0.0,3,28672,41520
61,0.0,4,28672,53136
61,0.0,5,24576,34992
62,0.0,1,28672,49896
62,0.0,2,28672,33576
62,0.0,3,28672,58824
62,0.0,4,28672,40072
62,0.0,5,28672,54272
63,0.0,1,28672,36288
63,0.0,2,32768,44560
63,0.0,3,28672,40368
63,0.0,4,28672,34616
63,0.0,5,28672,35352
64,0.0,1,32768,59024
64,0.0,2,28672,41624
64,0.0,3,28672,33936
64,0.0,4,28672,35592
64,0.0,5,28672,48072
65,0.0,1,28672,43048
65,0.0,2,28672,32296
65,0.0,3,32768,60744
65,0.0,4,32768,48168
65,0.0,5,28672,44520
66,0.0,1,28672,34224
66,0.0,2,28672,39472
66,0.0,3,28672,36288
66,0.0,4,32768,45288
66,0.0,5,28672,44664
67,0.0,1,28672,43688
67,0.0,2,28672,30096
67,0.0,3,32768,50048
67,0.0,4,32768,53672
67,0.0,5,28672,38400
68,0.0,1,28672,33192
68,0.0,2,28672,49624
68,0.0,3,32768,53144
68,0.0,4,32768,51056
68,0.0,5,28672,48144
69,0.0,1,28672,41480
69,0.0,2,32768,53528
69,0.0,3,28672,52480
69,0.0,4,32768,61352
69,0.0,5,28672,40880
70,0.0,1,28672,43640
70,0.0,2,32768,51504
70,0.0,3,28672,45128
70,0.0,4,32768,51040
70,0.0,5,32768,45152
71,0.0,1,32768,40768
71,0.0,2,32768,49768
71,0.0,3,32768,46952
71,0.0,4,28672,40088
71,0.0,5,32768,64800
72,0.0,1,32768,45016
72,0.0,2,32768,51576
72,0.0,3,32768,47016
72,0.0,4,32768,50336
72,0.0,5,28672,38320
73,0.0,1,32768,45448
73,0.0,2,32768,48768
73,0.0,3,32768,47360
73,0.0,4,32768,65328
73,0.0,5,32768,43600
74,0.0,1,28672,38312
74,0.0,2,32768,50848
74,0.0,3,32768,59536
74,0.0,4,32768,49936
74,0.0,5,32768,55608
75,0.0,1,32768,59568
75,0.0,2,36864,64424
75,0.0,3,32768,51992
75,0.0,4,32768,56480
75,0.0,5,32768,50856
76,0.0,1,36864,59152
76,0.0,2,36864,63264
76,0.0,3,32768,60040
76,0.0,4,32768,52352
76,0.0,5,32768,57888
77,0.0,1,32768,66552
77,0.0,2,32768,47808
77,0.0,3,36864,67440
77,0.0,4,36864,60440
77,0.0,5,28672,30472
78,0.0,1,32768,55312
78,0.0,2,32768,54264
78,0.0,3,32768,40320
78,0.0,4,32768,56264
78,0.0,5,32768,39464
79,0.0,1,32768,65520
79,0.0,2,28672,39488
79,0.0,3,32768,51176
79,0.0,4,32768,51672
79,0.0,5,32768,60736
80,0.0,1,32768,54752
80,0.0,2,36864,50280
80,0.0,3,32768,56760
80,0.0,4,36864,68968
80,0.0,5,32768,67584
81,0.0,1,32768,48360
81,0.0,2,36864,54552
81,0.0,3,32768,48320
81,0.0,4,32768,36800
81,0.0,5,36864,60440
82,0.0,1,36864,59200
82,0.0,2,36864,59976
82,0.0,3,36864,71616
82,0.0,4,32768,59512
82,0.0,5,32768,45528
83,0.0,1,36864,74312
83,0.0,2,36864,86032
83,0.0,3,36864,77024
83,0.0,4,32768,54776
83,0.0,5,36864,55520
84,0.0,1,32768,48072
84,0.0,2,36864,45312
84,0.0,3,32768,66840
84,0.0,4,36864,55848
84,0.0,5,40960,82040
85,0.0,1,36864,54416
85,0.0,2,32768,56648
85,0.0,3,32768,51936
85,0.0,4,32768,46328
85,0.0,5,32768,54624
86,0.0,1,36864,53896
86,0.0,2,36864,59712
86,0.0,3,36864,52392
86,0.0,4,36864,61416
86,0.0,5,40960,75848
87,0.0,1,32768,50312
87,0.0,2,36864,66096
87,0.0,3,36864,53936
87,0.0,4,36864,59320
87,0.0,5,32768,56144
88,0.0,1,36864,60672
88,0.0,2,36864,69552
88,0.0,3,36864,74448
88,0.0,4,32768,31744
88,0.0,5,36864,59104
89,0.0,1,36864,65328
89,0.0,2,32768,54512
89,0.0,3,32768,55248
89,0.0,4,36864,57376
89,0.0,5,36864,56952
90,0.0,1,36864,68968
90,0.0,2,32768,61768
90,0.0,3,32768,50680
90,0.0,4,36864,62080
90,0.0,5,36864,56984
91,0.0,1,36864,63920
91,0.0,2,36864,64376
91,0.0,3,32768,53432
91,0.0,4,36864,77088
91,0.0,5,36864,58840
92,0.0,1,36864,70216
92,0.0,2,36864,67672
92,0.0,3,36864,55704
92,0.0,4,36864,66448
92,0.0,5,36864,59592
93,0.0,1,36864,52872
93,0.0,2,40960,70664
93,0.0,3,36864,47256
93,0.0,4,36864,62832
93,0.0,5,40960,68208
94,0.0,1,36864,72872
94,0.0,2,36864,51192
94,0.0,3,32768,60600
94,0.0,4,36864,51880
94,0.0,5,36864,46312
95,0.0,1,40960,62072
95,0.0,2,36864,60688
95,0.0,3,36864,64792
95,0.0,4,40960,69992
95,0.0,5,36864,63040
96,0.0,1,40960,61992
96,0.0,2,36864,67472
96,0.0,3,36864,43192
96,0.0,4,40960,67192
96,0.0,5,40960,63088
97,0.0,1,36864,63480
97,0.0,2,36864,59040
97,0.0,3,40960,62376
97,0.0,4,40960,70216
97,0.0,5,40960,56328
98,0.0,1,36864,62352
98,0.0,2,40960,94504
98,0.0,3,40960,77184
98,0.0,4,36864,61344
98,0.0,5,40960,66152
99,0.0,1,36864,54280
99,0.0,2,40960,63600
99,0.0,3,36864,57480
99,0.0,4,40960,77840
99,0.0,5,40960,69928
100,0.0,1,36864,34408
100,0.0,2,40960,85416
100,0.0,3,40960,69192
100,0.0,4,36864,73504
100,0.0,5,36864,58552
1,0.1,1,12288,16
1,0.1,2,12288,16
1,0.1,3,12288,16
1,0.1,4,12288,16
1,0.1,5,12288,16
2,0.1,1,12288,4504
2,0.1,2,12288,4768
2,0.1,3,12288,4616
2,0.1,4,12288,4584
2,0.1,5,12288,4528
3,0.1,1,12288,8264
3,0.1,2,12288,4992
3,0.1,3,12288,5144
3,0.1,4,12288,7304
3,0.1,5,12288,8632
4,0.1,1,12288,13920
4,0.1,2,12288,10224
4,0.1,3,12288,5472
4,0.1,4,12288,9976
4,0.1,5,12288,15448
5,0.1,1,12288,5944
5,0.1,2,12288,14560
5,0.1,3,12288,11824
5,0.1,4,12288,6256
5,0.1,5,12288,8456
6,0.1,1,12288,9224
6,0.1,2,12288,14056
6,0.1,3,12288,9224
6,0.1,4,12288,13488
6,0.1,5,12288,6784
7,0.1,1,12288,10456
7,0.1,2,12288,10992
7,0.1,3,12288,28200
7,0.1,4,12288,15624
7,0.1,5,12288,7400
8,0.1,1,12288,14840
8,0.1,2,12288,9168
8,0.1,3,12288,15624
8,0.1,4,12288,7880
8,0.1,5,12288,8280
9,0.1,1,12288,15112
9,0.1,2,12288,14208
9,0.1,3,12288,14768
9,0.1,4,12288,28480
9,0.1,5,12288,16248
10,0.1,1,12288,10136
10,0.1,2,12288,8696
10,0.1,3,12288,14744
10,0.1,4,12288,11880
10,0.1,5,12288,9736
11,0.1,1,12288,16704
11,0.1,2,12288,18264
11,0.1,3,12288,15616
11,0.1,4,12288,10544
11,0.1,5,12288,20928
12,0.1,1,12288,20120
12,0.1,2,12288,18080
12,0.1,3,12288,21984
12,0.1,4,12288,24464
12,0.1,5,12288,11456
13,0.1,1,12288,21200
13,0.1,2,12288,11664
13,0.1,3,12288,22024
13,0.1,4,12288,18496
13,0.1,5,12288,20312
14,0.1,1,12288,11176
14,0.1,2,12288,17784
14,0.1,3,12288,18560
14,0.1,4,12288,22392
14,0.1,5,12288,21632
15,0.1,1,12288,23168
15,0.1,2,12288,33800
15,0.1,3,12288,21824
15,0.1,4,12288,20728
15,0.1,5,12288,14672
16,0.1,1,12288,17968
16,0.1,2,12288,21560
16,0.1,3,12288,23472
16,0.1,4,12288,10704
16,0.1,5,20480,27432
17,0.1,1,12288,28392
17,0.1,2,20480,17520
17,0.1,3,20480,30728
17,0.1,4,12288,22280
17,0.1,5,20480,26592
18,0.1,1,12288,26688
18,0.1,2,12288,17248
18,0.1,3,12288,10512
18,0.1,4,12288,19096
18,0.1,5,12288,17296
19,0.1,1,20480,22880
19,0.1,2,12288,17384
19,0.1,3,12288,23416
19,0.1,4,20480,27400
19,0.1,5,20480,36728
20,0.1,1,20480,20440
20,0.1,2,12288,22208
20,0.1,3,12288,14464
20,0.1,4,20480,25968
20,0.1,5,20480,32448
21,0.1,1,20480,38112
21,0.1,2,12288,23320
21,0.1,3,20480,14384
21,0.1,4,20480,61104
21,0.1,5,20480,37072
22,0.1,1,20480,30664
22,0.1,2,20480,18960
22,0.1,3,20480,26592
22,0.1,4,20480,45528
22,0.1,5,20480,28968
23,0.1,1,20480,24320
23,0.1,2,20480,25232
23,0.1,3,20480,31048
23,0.1,4,12288,16064
23,0.1,5,20480,18000
24,0.1,1,12288,32432
24,0.1,2,20480,30328
24,0.1,3,20480,26760
24,0.1,4,20480,31464
24,0.1,5,20480,18672
25,0.1,1,20480,27584
25,0.1,2,20480,28488
25,0.1,3,20480,32712
25,0.1,4,20480,24104
25,0.1,5,20480,32064
26,0.1,1,20480,25752
26,0.1,2,20480,23760
26,0.1,3,20480,29984
26,0.1,4,20480,60104
26,0.1,5,20480,51424
27,0.1,1,20480,33560
27,0.1,2,20480,23648
27,0.1,3,20480,19744
27,0.1,4,20480,29016
27,0.1,5,20480,27336
28,0.1,1,20480,66208
28,0.1,2,20480,20072
28,0.1,3,20480,17976
28,0.1,4,20480,41240
28,0.1,5,20480,27920
29,0.1,1,20480,70896
29,0.1,2,20480,27872
29,0.1,3,20480,54024
29,0.1,4,20480,56016
29,0.1,5,20480,26616
30,0.1,1,20480,37256
30,0.1,2,20480,36000
30,0.1,3,20480,24496
30,0.1,4,20480,28216
30,0.1,5,20480,20080
31,0.1,1,20480,38144
31,0.1,2,20480,30944
31,0.1,3,20480,20896
31,0.1,4,20480,22560
31,0.1,5,20480,41168
32,0.1,1,20480,63192
32,0.1,2,24576,48056
32,0.1,3,20480,30192
32,0.1,4,20480,54936
32,0.1,5,20480,48240
33,0.1,1,20480,26144
33,0.1,2,20480,36856
33,0.1,3,20480,34392
33,0.1,4,20480,36928
33,0.1,5,20480,34664
34,0.1,1,20480,59744
34,0.1,2,24576,42896
34,0.1,3,24576,40144
34,0.1,4,24576,58064
34,0.1,5,20480,29472
35,0.1,1,24576,39784
35,0.1,2,20480,31552
35,0.1,3,24576,42960
35,0.1,4,20480,20632
35,0.1,5,20480,16616
36,0.1,1,24576,25888
36,0.1,2,20480,32928
36,0.1,3,20480,50320
36,0.1,4,24576,58120
36,0.1,5,24576,50536
37,0.1,1,24576,34384
37,0.1,2,24576,26800
37,0.1,3,24576,39224
37,0.1,4,20480,33824
37,0.1,5,20480,25720
38,0.1,1,24576,45632
38,0.1,2,24576,55960
38,0.1,3,20480,22400
38,0.1,4,24576,55824
38,0.1,5,24576,48880
39,0.1,1,24576,51200
39,0.1,2,24576,45632
39,0.1,3,24576,59344
39,0.1,4,24576,42608
39,0.1,5,24576,31248
40,0.1,1,24576,32800
40,0.1,2,24576,51472
40,0.1,3,24576,33432
40,0.1,4,24576,55904
40,0.1,5,20480,21480
41,0.1,1,24576,71456
41,0.1,2,24576,77336
41,0.1,3,24576,63512
41,0.1,4,24576,35112
41,0.1,5,24576,39816
42,0.1,1,24576,37136
42,0.1,2,24576,28448
42,0.1,3,24576,67696
42,0.1,4,24576,30328
42,0.1,5,24576,30120
43,0.1,1,24576,29728
43,0.1,2,24576,89800
43,0.1,3,24576,25136
43,0.1,4,24576,42016
43,0.1,5,24576,33168
44,0.1,1,24576,37480
44,0.1,2,20480,21976
44,0.1,3,24576,59576
44,0.1,4,24576,29096
44,0.1,5,24576,43632
45,0.1,1,24576,48128
45,0.1,2,24576,44216
45,0.1,3,24576,34080
45,0.1,4,24576,27896
45,0.1,5,24576,47552
46,0.1,1,24576,33224
46,0.1,2,24576,39480
46,0.1,3,24576,71600
46,0.1,4,24576,38968
46,0.1,5,24576,28472
47,0.1,1,24576,70808
47,0.1,2,24576,40024
47,0.1,3,24576,39560
47,0.1,4,24576,46880
47,0.1,5,24576,50128
48,0.1,1,24576,34808
48,0.1,2,28672,77368
48,0.1,3,24576,27680
48,0.1,4,24576,69312
48,0.1,5,24576,40240
49,0.1,1,24576,46616
49,0.1,2,24576,30840
49,0.1,3,24576,37168
49,0.1,4,28672,96608
49,0.1,5,24576,42624
50,0.1,1,24576,72456
50,0.1,2,28672,123360
50,0.1,3,28672,66880
50,0.1,4,24576,70720
50,0.1,5,24576,38688
51,0.1,1,28672,39640
51,0.1,2,28672,75960
51,0.1,3,28672,48896
51,0.1,4,28672,86616
51,0.1,5,24576,31752
52,0.1,1,24576,60832
52,0.1,2,28672,48192
52,0.1,3,28672,36560
52,0.1,4,24576,29608
52,0.1,5,24576,46944
53,0.1,1,24576,34568
53,0.1,2,24576,42704
53,0.1,3,24576,46376
53,0.1,4,24576,43888
53,0.1,5,28672,37568
54,0.1,1,24576,43040
54,0.1,2,28672,49344
54,0.1,3,24576,35912
54,0.1,4,24576,24040
54,0.1,5,28672,56784
55,0.1,1,24576,46968
55,0.1,2,24576,32912
55,0.1,3,24576,37256
55,0.1,4,28672,114008
55,0.1,5,28672,60168
56,0.1,1,28672,43384
56,0.1,2,28672,52384
56,0.1,3,24576,31056
56,0.1,4,28672,66392
56,0.1,5,24576,34304
57,0.1,1,28672,54768
57,0.1,2,28672,33584
57,0.1,3,28672,54696
57,0.1,4,28672,62568
57,0.1,5,28672,60968
58,0.1,1,28672,114184
58,0.1,2,28672,36544
58,0.1,3,28672,46920
58,0.1,4,28672,35184
58,0.1,5,24576,36800
59,0.1,1,24576,51728
59,0.1,2,24576,30816
59,0.1,3,28672,46688
59,0.1,4,28672,84768
59,0.1,5,28672,43696
60,0.1,1,32768,55176
60,0.1,2,28672,103240
60,0.1,3,28672,44000
60,0.1,4,28672,46552
60,0.1,5,28672,64624
61,0.1,1,28672,41824
61,0.1,2,28672,50032
61,0.1,3,28672,84696
61,0.1,4,32768,57560
61,0.1,5,28672,64928
62,0.1,1,28672,47008
62,0.1,2,28672,79048
62,0.1,3,28672,43384
62,0.1,4,28672,46864
62,0.1,5,28672,29440
63,0.1,1,32768,56816
63,0.1,2,28672,58192
63,0.1,3,28672,50904
63,0.1,4,32768,67488
63,0.1,5,28672,64528
64,0.1,1,28672,68672
64,0.1,2,32768,56816
64,0.1,3,28672,64064
64,0.1,4,28672,43880
64,0.1,5,28672,68752
65,0.1,1,32768,93056
65,0.1,2,28672,116632
65,0.1,3,32768,54200
65,0.1,4,32768,116760
65,0.1,5,28672,80976
66,0.1,1,32768,45792
66,0.1,2,28672,36880
66,0.1,3,32768,48224
66,0.1,4,28672,41104
66,0.1,5,28672,61648
67,0.1,1,28672,69176
67,0.1,2,28672,50736
67,0.1,3,28672,104064
67,0.1,4,32768,76376
67,0.1,5,28672,47584
68,0.1,1,28672,48616
68,0.1,2,28672,80280
