N,P,X,Cmap,ExecEnv
1,0.0,1,3976,88
1,0.0,2,3960,88
1,0.0,3,3992,88
1,0.0,4,3992,88
1,0.0,5,3992,88
2,0.0,1,4328,400
2,0.0,2,4288,600
2,0.0,3,5840,5832
2,0.0,4,4344,752
2,0.0,5,4352,1464
3,0.0,1,4592,1176
3,0.0,2,6496,5488
3,0.0,3,4552,1032
3,0.0,4,4600,1432
3,0.0,5,4640,752
4,0.0,1,6728,6040
4,0.0,2,4944,1912
4,0.0,3,4800,1512
4,0.0,4,4896,1752
4,0.0,5,4880,2392
5,0.0,1,5128,1616
5,0.0,2,5288,2440
5,0.0,3,5168,2472
5,0.0,4,7560,6640
5,0.0,5,5176,1960
6,0.0,1,5584,2480
6,0.0,2,8976,9752
6,0.0,3,5624,10392
6,0.0,4,7752,7096
6,0.0,5,5600,3528
7,0.0,1,7064,4904
7,0.0,2,6512,11752
7,0.0,3,13864,18752
7,0.0,4,5872,4952
7,0.0,5,7576,6704
8,0.0,1,7136,5568
8,0.0,2,8240,7000
8,0.0,3,8832,7728
8,0.0,4,9264,7568
8,0.0,5,6384,4344
9,0.0,1,10696,14144
9,0.0,2,10776,11432
9,0.0,3,7992,6256
9,0.0,4,6704,3640
9,0.0,5,10488,16392
10,0.0,1,9080,9416
10,0.0,2,11504,10752
10,0.0,3,7168,4536
10,0.0,4,12440,10976
10,0.0,5,14584,16928
11,0.0,1,7344,4656
11,0.0,2,9840,11616
11,0.0,3,11360,9976
11,0.0,4,15592,15560
11,0.0,5,7416,9096
12,0.0,1,13008,13048
12,0.0,2,13024,11744
12,0.0,3,7928,5112
12,0.0,4,14416,15936
12,0.0,5,8840,9944
13,0.0,1,12920,13904
13,0.0,2,15232,14480
13,0.0,3,10864,9744
13,0.0,4,11904,10952
13,0.0,5,9168,11688
14,0.0,1,16144,19520
14,0.0,2,8624,5512
14,0.0,3,10752,12224
14,0.0,4,10648,9592
14,0.0,5,11848,10152
15,0.0,1,25152,28232
15,0.0,2,10416,8008
15,0.0,3,15768,13544
15,0.0,4,11656,13920
15,0.0,5,15688,16176
16,0.0,1,9624,10976
16,0.0,2,15304,13216
16,0.0,3,15504,16776
16,0.0,4,16368,18744
16,0.0,5,16864,17280
17,0.0,1,21224,24456
17,0.0,2,10488,8032
17,0.0,3,20552,16704
17,0.0,4,21944,23448
17,0.0,5,18128,17440
18,0.0,1,18480,18432
18,0.0,2,15360,14808
18,0.0,3,18624,21992
18,0.0,4,25568,29064
18,0.0,5,10888,9360
19,0.0,1,12136,14040
19,0.0,2,20072,17832
19,0.0,3,17424,13240
19,0.0,4,23168,23200
19,0.0,5,24312,25960
20,0.0,1,16336,15808
20,0.0,2,11472,18472
20,0.0,3,26904,29824
20,0.0,4,13384,9992
20,0.0,5,20544,21576
21,0.0,1,31760,25840
21,0.0,2,13760,14216
21,0.0,3,17288,14600
21,0.0,4,17432,14920
21,0.0,5,24240,25400
22,0.0,1,13792,13968
22,0.0,2,17016,22800
22,0.0,3,18672,21512
22,0.0,4,41248,37408
22,0.0,5,19848,17688
23,0.0,1,28096,29032
23,0.0,2,25816,26808
23,0.0,3,17592,12680
23,0.0,4,28928,31664
23,0.0,5,24496,36664
24,0.0,1,27720,30096
24,0.0,2,27752,35624
24,0.0,3,29712,26296
24,0.0,4,30792,23576
24,0.0,5,21512,21720
25,0.0,1,20224,31568
25,0.0,2,32032,23288
25,0.0,3,13712,10632
25,0.0,4,29680,32128
25,0.0,5,26528,20288
26,0.0,1,18192,14520
26,0.0,2,34296,35504
26,0.0,3,23032,21768
26,0.0,4,27176,29656
26,0.0,5,24488,25400
27,0.0,1,27128,20416
27,0.0,2,31272,27112
27,0.0,3,19968,20176
27,0.0,4,18576,16384
27,0.0,5,25472,22144
28,0.0,1,37264,37104
28,0.0,2,30592,24720
28,0.0,3,27824,30328
28,0.0,4,27120,26736
28,0.0,5,53744,39880
29,0.0,1,22832,21992
29,0.0,2,52224,42936
29,0.0,3,30232,37112
29,0.0,4,36808,29864
29,0.0,5,27160,26312
30,0.0,1,21488,19488
30,0.0,2,27592,27920
30,0.0,3,28624,25840
30,0.0,4,44184,39456
30,0.0,5,24768,20256
31,0.0,1,32872,26168
31,0.0,2,38792,33696
31,0.0,3,38208,38944
31,0.0,4,26256,21336
31,0.0,5,33032,40768
32,0.0,1,31184,31816
32,0.0,2,33208,34984
32,0.0,3,26352,32304
32,0.0,4,29528,32216
32,0.0,5,42360,28272
33,0.0,1,27000,30048
33,0.0,2,28792,38160
33,0.0,3,50928,40840
33,0.0,4,24776,26176
33,0.0,5,26816,26304
34,0.0,1,43784,38960
34,0.0,2,40936,43448
34,0.0,3,28712,25288
34,0.0,4,35064,47040
34,0.0,5,43408,45152
35,0.0,1,44552,37832
35,0.0,2,42856,37984
35,0.0,3,36560,31384
35,0.0,4,46664,35280
35,0.0,5,34240,28472
36,0.0,1,30704,24944
36,0.0,2,30432,21808
36,0.0,3,40592,38232
36,0.0,4,42256,32016
36,0.0,5,59568,41952
37,0.0,1,32928,24808
37,0.0,2,57360,55264
37,0.0,3,80488,54392
37,0.0,4,36472,26512
37,0.0,5,52736,43608
38,0.0,1,28248,25552
38,0.0,2,60080,47088
38,0.0,3,31888,24136
38,0.0,4,41864,32824
38,0.0,5,38104,27000
39,0.0,1,42480,38504
39,0.0,2,59808,47360
39,0.0,3,34320,29272
39,0.0,4,52528,45552
39,0.0,5,55568,42848
40,0.0,1,35984,31400
40,0.0,2,51576,41672
40,0.0,3,36984,30376
40,0.0,4,83512,65168
40,0.0,5,44992,36304
41,0.0,1,44136,51368
41,0.0,2,54904,35288
41,0.0,3,34448,24208
41,0.0,4,62432,37648
41,0.0,5,64032,51592
42,0.0,1,45072,47560
42,0.0,2,53200,33040
42,0.0,3,67488,44568
42,0.0,4,37576,31112
42,0.0,5,43392,35960
43,0.0,1,44712,36704
43,0.0,2,48296,38296
43,0.0,3,57480,46984
43,0.0,4,64672,46096
43,0.0,5,29440,28208
44,0.0,1,48368,33088
44,0.0,2,67928,43584
44,0.0,3,57704,39256
44,0.0,4,55184,47096
44,0.0,5,64240,48064
45,0.0,1,48264,37312
45,0.0,2,48288,30688
45,0.0,3,66144,51760
45,0.0,4,65216,44944
45,0.0,5,52752,40864
46,0.0,1,47488,27728
46,0.0,2,61696,49736
46,0.0,3,65512,46736
46,0.0,4,39088,36504
46,0.0,5,62360,46640
47,0.0,1,38920,32272
47,0.0,2,77480,61616
47,0.0,3,69024,49776
47,0.0,4,75048,51696
47,0.0,5,48216,50624
48,0.0,1,87488,56200
48,0.0,2,52200,40328
48,0.0,3,66552,55216
48,0.0,4,38656,34624
48,0.0,5,102912,71592
49,0.0,1,67088,45048
49,0.0,2,93824,60344
49,0.0,3,70200,60608
49,0.0,4,94760,55448
49,0.0,5,58880,38824
50,0.0,1,58688,54896
50,0.0,2,52528,41688
50,0.0,3,80312,57744
50,0.0,4,65128,46368
50,0.0,5,78184,58744
51,0.0,1,64088,45176
51,0.0,2,37808,34208
51,0.0,3,59344,45472
51,0.0,4,81680,59584
51,0.0,5,94144,67336
52,0.0,1,57808,50176
52,0.0,2,76984,49920
52,0.0,3,84808,56912
52,0.0,4,61800,51736
52,0.0,5,61808,46664
53,0.0,1,60552,35248
53,0.0,2,91888,49240
53,0.0,3,109520,69880
53,0.0,4,93248,61608
53,0.0,5,80544,55384
54,0.0,1,62264,33480
