N,P,X,Cmap,ExecEnv
100,0.0,1,197160,79928
100,0.0,2,166184,71216
100,0.0,3,214736,90272
100,0.0,4,295136,137224
100,0.0,5,234616,100744
200,0.0,1,1029560,230320
200,0.0,2,1043920,220264
200,0.0,3,797536,208536
200,0.0,4,752992,177704
200,0.0,5,847880,234816
300,0.0,1,1787392,310704
300,0.0,2,1714472,281656
300,0.0,3,1799472,289120
300,0.0,4,1923744,303992
300,0.0,5,1647816,281720
100,0.1,1,243824,103152
100,0.1,2,224208,101880
100,0.1,3,245232,100544
100,0.1,4,362248,122864
100,0.1,5,189216,92504
200,0.1,1,965064,215408
200,0.1,2,769264,209144
200,0.1,3,845800,218768
200,0.1,4,804720,195440
200,0.1,5,808096,204560
300,0.1,1,1987400,291872
300,0.1,2,1905896,301040
300,0.1,3,1623616,297872
300,0.1,4,1612536,272216
300,0.1,5,1963944,330472
100,0.2,1,263616,99000
100,0.2,2,318704,127512
100,0.2,3,307872,140456
100,0.2,4,289936,103296
100,0.2,5,238720,99056
200,0.2,1,870304,211824
200,0.2,2,817232,195216
200,0.2,3,934120,224776
200,0.2,4,892288,194800
200,0.2,5,965376,202056
300,0.2,1,2018056,347000
300,0.2,2,2073928,337208
300,0.2,3,1598944,304016
300,0.2,4,1848792,312832
300,0.2,5,1879232,303872
100,0.3,1,259128,112864
100,0.3,2,290408,122880
100,0.3,3,177248,84712
100,0.3,4,196600,91928
100,0.3,5,196872,90136
200,0.3,1,839600,198040
200,0.3,2,760480,174224
200,0.3,3,1232704,222416
200,0.3,4,747832,181680
200,0.3,5,882360,201912
300,0.3,1,1794560,288232
300,0.3,2,1961360,318584
300,0.3,3,1711120,314416
300,0.3,4,2009248,317936
300,0.3,5,1640504,300480
100,0.4,1,262840,99464
100,0.4,2,190400,90464
100,0.4,3,234224,106240
100,0.4,4,231640,106792
100,0.4,5,193952,88272
200,0.4,1,737688,201576
200,0.4,2,930984,212272
200,0.4,3,1103408,237536
200,0.4,4,1037944,207984
200,0.4,5,842472,215360
300,0.4,1,1604744,279088
300,0.4,2,2174520,307144
300,0.4,3,1995576,326184
300,0.4,4,1780264,303880
300,0.4,5,1798568,295536
100,0.5,1,279120,101224
100,0.5,2,240248,100744
100,0.5,3,225368,102488
100,0.5,4,227528,93264
100,0.5,5,246024,95184
200,0.5,1,940584,217240
200,0.5,2,1017640,229304
200,0.5,3,942672,206568
200,0.5,4,729296,209448
200,0.5,5,964272,222808
300,0.5,1,1587088,262568
300,0.5,2,2164328,320112
300,0.5,3,1841360,336048
300,0.5,4,1818320,297304
300,0.5,5,1851808,271120
100,0.6,1,166120,74136
100,0.6,2,247928,90664
100,0.6,3,212504,99904
100,0.6,4,209928,84048
100,0.6,5,262648,125352
200,0.6,1,727624,179888
200,0.6,2,918848,188352
200,0.6,3,728824,192560
200,0.6,4,937328,214176
200,0.6,5,856160,180432
300,0.6,1,1516432,272184
300,0.6,2,1764928,313632
300,0.6,3,1643464,277136
300,0.6,4,1692448,273816
300,0.6,5,1660712,286280
100,0.7,1,235112,92712
100,0.7,2,203096,103104
100,0.7,3,186168,94720
100,0.7,4,245800,105144
100,0.7,5,183032,82400
200,0.7,1,640952,168384
200,0.7,2,749680,206704
200,0.7,3,956584,238448
200,0.7,4,836056,205920
200,0.7,5,735448,197128
300,0.7,1,1953032,336592
300,0.7,2,1899720,315416
300,0.7,3,1673776,288624
300,0.7,4,2010824,308480
300,0.7,5,1688192,281936
100,0.8,1,333296,115504
100,0.8,2,132760,69992
100,0.8,3,204808,96768
100,0.8,4,179336,75040
100,0.8,5,207680,85632
200,0.8,1,1024256,241896
200,0.8,2,824648,199144
200,0.8,3,826144,189752
200,0.8,4,872136,201176
200,0.8,5,774088,202024
300,0.8,1,1527424,280536
300,0.8,2,1713600,309328
300,0.8,3,1807568,286600
300,0.8,4,1939832,293888
300,0.8,5,1562744,294864
100,0.9,1,242368,82112
100,0.9,2,134904,72288
100,0.9,3,280216,113248
100,0.9,4,196040,89416
100,0.9,5,171880,100528
200,0.9,1,804424,193680
200,0.9,2,695168,176192
200,0.9,3,713808,202288
200,0.9,4,878936,213048
200,0.9,5,842672,203720
300,0.9,1,1597320,283336
300,0.9,2,1931280,310240
300,0.9,3,1537632,267808
300,0.9,4,1649320,298168
300,0.9,5,1521312,247224
100,1.0,1,318848,116704
100,1.0,2,338336,121728
100,1.0,3,197312,86528
100,1.0,4,191736,85576
100,1.0,5,204256,90544
200,1.0,1,817608,214360
200,1.0,2,765248,211024
200,1.0,3,1013288,201760
200,1.0,4,854584,187896
200,1.0,5,869960,224968
300,1.0,1,2292832,352552
300,1.0,2,1506736,278288
300,1.0,3,2053712,306704
300,1.0,4,1671304,290160
300,1.0,5,1677016,303440
