N,P,X,Cmap,ExecEnv
1,0.0,1,16488,88
1,0.0,2,16488,88
1,0.0,3,16488,88
1,0.0,4,16488,88
1,0.0,5,16488,88
2,0.0,1,33000,464
2,0.0,2,33000,664
2,0.0,3,33000,872
2,0.0,4,33000,400
2,0.0,5,33000,864
3,0.0,1,49512,1248
3,0.0,2,49512,760
3,0.0,3,49512,616
3,0.0,4,49512,936
3,0.0,5,49512,792
4,0.0,1,66024,2096
4,0.0,2,66024,1432
4,0.0,3,66024,6088
4,0.0,4,66024,1248
4,0.0,5,66024,1128
5,0.0,1,82536,7648
5,0.0,2,82536,2128
5,0.0,3,82536,4688
5,0.0,4,82536,1608
5,0.0,5,82536,1824
6,0.0,1,99048,7208
6,0.0,2,99048,11888
6,0.0,3,99048,9744
6,0.0,4,99048,7936
6,0.0,5,99048,2616
7,0.0,1,115560,5520
7,0.0,2,115560,13352
7,0.0,3,115560,5632
7,0.0,4,115560,2768
7,0.0,5,115560,9824
8,0.0,1,132072,8712
8,0.0,2,132072,9800
8,0.0,3,132072,11080
8,0.0,4,132072,8712
8,0.0,5,132072,3552
9,0.0,1,148584,14560
9,0.0,2,148584,8880
9,0.0,3,148584,13328
9,0.0,4,148584,3456
9,0.0,5,148584,5520
10,0.0,1,165096,7336
10,0.0,2,165096,4824
10,0.0,3,165096,5760
10,0.0,4,165096,10528
10,0.0,5,165096,8416
11,0.0,1,181608,7816
11,0.0,2,181608,8016
11,0.0,3,181608,17440
11,0.0,4,181608,26800
11,0.0,5,181608,4952
12,0.0,1,198120,10616
12,0.0,2,198120,14560
12,0.0,3,198120,9256
12,0.0,4,198120,6080
12,0.0,5,198120,15840
13,0.0,1,214632,20752
13,0.0,2,214632,5600
13,0.0,3,214632,17544
13,0.0,4,214632,9184
13,0.0,5,214632,7296
14,0.0,1,231144,10128
14,0.0,2,231144,19920
14,0.0,3,231144,23000
14,0.0,4,231144,22176
14,0.0,5,231144,9216
15,0.0,1,247656,11608
15,0.0,2,247656,13304
15,0.0,3,247656,17944
15,0.0,4,247656,19256
15,0.0,5,247656,24392
16,0.0,1,264168,23512
16,0.0,2,264168,23280
16,0.0,3,264168,12272
16,0.0,4,264168,22736
16,0.0,5,264168,16760
17,0.0,1,280680,28056
17,0.0,2,280680,17280
17,0.0,3,280680,19136
17,0.0,4,280680,14200
17,0.0,5,280680,30536
18,0.0,1,297192,19016
18,0.0,2,297192,16584
18,0.0,3,297192,13272
18,0.0,4,297192,28584
18,0.0,5,297192,15544
19,0.0,1,313704,14416
19,0.0,2,313704,14320
19,0.0,3,313704,16912
19,0.0,4,313704,18088
19,0.0,5,313704,16344
20,0.0,1,330216,16976
20,0.0,2,330216,21264
20,0.0,3,330216,26304
20,0.0,4,330216,22968
20,0.0,5,330216,13600
21,0.0,1,346728,22744
21,0.0,2,346728,14992
21,0.0,3,346728,27016
21,0.0,4,346728,20944
21,0.0,5,346728,17520
22,0.0,1,363240,20448
22,0.0,2,363240,22712
22,0.0,3,363240,23904
22,0.0,4,363240,13416
22,0.0,5,363240,16904
23,0.0,1,379752,28832
23,0.0,2,379752,19920
23,0.0,3,379752,24056
23,0.0,4,379752,26184
23,0.0,5,379752,26560
24,0.0,1,396264,18424
24,0.0,2,396264,36272
24,0.0,3,396264,19560
24,0.0,4,396264,18816
24,0.0,5,396264,20984
25,0.0,1,412776,30776
25,0.0,2,412776,19880
25,0.0,3,412776,28816
25,0.0,4,412776,13648
25,0.0,5,412776,23040
26,0.0,1,429288,19776
26,0.0,2,429288,19528
26,0.0,3,429288,37496
26,0.0,4,429288,31456
26,0.0,5,429288,24800
27,0.0,1,445800,38944
27,0.0,2,445800,16736
27,0.0,3,445800,34248
27,0.0,4,445800,32024
27,0.0,5,445800,19952
28,0.0,1,462312,44992
28,0.0,2,462312,32936
28,0.0,3,462312,33904
28,0.0,4,462312,30880
28,0.0,5,462312,43640
29,0.0,1,478824,31024
29,0.0,2,478824,26456
29,0.0,3,478824,15536
29,0.0,4,478824,17952
29,0.0,5,478824,31832
30,0.0,1,495336,21432
30,0.0,2,495336,25792
30,0.0,3,495336,28480
30,0.0,4,495336,42808
30,0.0,5,495336,22776
31,0.0,1,511848,35208
31,0.0,2,511848,34128
31,0.0,3,511848,40616
31,0.0,4,511848,26568
31,0.0,5,511848,19096
32,0.0,1,528360,28520
32,0.0,2,528360,35472
32,0.0,3,528360,35168
32,0.0,4,528360,19656
32,0.0,5,528360,35432
33,0.0,1,544872,38288
33,0.0,2,544872,42448
33,0.0,3,544872,29056
33,0.0,4,544872,36976
33,0.0,5,544872,52400
34,0.0,1,561384,40472
34,0.0,2,561384,27888
34,0.0,3,561384,49704
34,0.0,4,561384,40592
34,0.0,5,561384,24880
35,0.0,1,577896,46088
35,0.0,2,577896,35048
35,0.0,3,577896,18400
35,0.0,4,577896,38896
35,0.0,5,577896,37184
36,0.0,1,594408,29304
36,0.0,2,594408,21760
36,0.0,3,594408,23456
36,0.0,4,594408,35160
36,0.0,5,594408,39768
37,0.0,1,610920,28968
37,0.0,2,610920,28064
37,0.0,3,610920,25016
37,0.0,4,610920,52760
37,0.0,5,610920,41192
38,0.0,1,627432,37880
38,0.0,2,627432,24288
38,0.0,3,627432,52768
38,0.0,4,627432,31696
38,0.0,5,627432,43624
39,0.0,1,643944,37128
39,0.0,2,643944,41296
39,0.0,3,643944,31192
39,0.0,4,643944,44376
39,0.0,5,643944,30568
40,0.0,1,660456,33688
40,0.0,2,660456,53616
40,0.0,3,660456,30088
40,0.0,4,660456,43784
40,0.0,5,660456,60840
41,0.0,1,676968,42576
41,0.0,2,676968,50008
41,0.0,3,676968,36096
41,0.0,4,676968,43560
41,0.0,5,676968,69400
42,0.0,1,693480,42808
42,0.0,2,693480,44192
42,0.0,3,693480,39824
42,0.0,4,693480,42128
42,0.0,5,693480,42504
43,0.0,1,709992,39896
43,0.0,2,709992,34792
43,0.0,3,709992,57776
43,0.0,4,709992,32200
43,0.0,5,709992,54384
44,0.0,1,726504,57320
44,0.0,2,726504,41008
44,0.0,3,726504,45968
44,0.0,4,726504,41464
44,0.0,5,726504,39872
45,0.0,1,743016,34200
45,0.0,2,743016,29880
45,0.0,3,743016,46552
45,0.0,4,743016,40664
45,0.0,5,743016,34376
46,0.0,1,759528,36304
46,0.0,2,759528,57480
46,0.0,3,759528,28176
46,0.0,4,759528,47008
46,0.0,5,759528,43288
47,0.0,1,776040,39456
47,0.0,2,776040,37808
47,0.0,3,776040,43520
47,0.0,4,776040,56928
47,0.0,5,776040,45104
48,0.0,1,792552,54832
48,0.0,2,792552,65384
48,0.0,3,792552,39784
48,0.0,4,792552,35992
48,0.0,5,792552,58368
49,0.0,1,809064,56088
49,0.0,2,809064,67184
49,0.0,3,809064,43520
49,0.0,4,809064,47736
49,0.0,5,809064,39984
50,0.0,1,825576,66376
50,0.0,2,825576,69392
50,0.0,3,825576,53568
50,0.0,4,825576,48568
50,0.0,5,825576,56648
51,0.0,1,842088,45664
51,0.0,2,842088,41288
51,0.0,3,842088,53928
51,0.0,4,842088,73168
51,0.0,5,842088,46736
52,0.0,1,858600,48040
52,0.0,2,858600,47976
52,0.0,3,858600,50544
52,0.0,4,858600,57016
52,0.0,5,858600,48616
53,0.0,1,875112,56792
53,0.0,2,875112,47512
53,0.0,3,875112,48312
53,0.0,4,875112,66208
53,0.0,5,875112,73688
54,0.0,1,891624,48072
54,0.0,2,891624,34352
54,0.0,3,891624,51536
54,0.0,4,891624,51360
54,0.0,5,891624,45280
55,0.0,1,908136,64112
55,0.0,2,908136,39792
55,0.0,3,908136,48032
55,0.0,4,908136,77152
55,0.0,5,908136,52144
56,0.0,1,924648,52336
56,0.0,2,924648,45224
56,0.0,3,924648,51416
56,0.0,4,924648,59544
56,0.0,5,924648,57848
57,0.0,1,941160,49904
57,0.0,2,941160,65184
57,0.0,3,941160,50040
57,0.0,4,941160,67608
57,0.0,5,941160,63720
58,0.0,1,957672,83208
58,0.0,2,957672,50712
58,0.0,3,957672,57496
58,0.0,4,957672,63720
58,0.0,5,957672,56432
59,0.0,1,974184,63624
59,0.0,2,974184,43368
59,0.0,3,974184,53600
59,0.0,4,974184,44912
59,0.0,5,974184,61096
60,0.0,1,990696,71056
60,0.0,2,990696,55632
60,0.0,3,990696,71096
60,0.0,4,990696,70288
60,0.0,5,990696,62040
61,0.0,1,1007208,59432
61,0.0,2,1007208,71080
61,0.0,3,1007208,64560
61,0.0,4,1007208,67264
61,0.0,5,1007208,40000
62,0.0,1,1023720,54624
