N,P,X,Cmap,Parents,Children
100,0.0,1,249160,103720,106112
100,0.0,2,240416,99864,102256
100,0.0,3,274568,108424,110816
100,0.0,4,194544,92088,94480
100,0.0,5,363320,127064,129456
200,0.0,1,718920,168536,173328
200,0.0,2,746264,190016,194808
200,0.0,3,790032,189680,194472
200,0.0,4,887320,180888,185680
200,0.0,5,893512,187072,191864
300,0.0,1,2183392,300152,307344
300,0.0,2,1588960,269512,276704
300,0.0,3,1834360,284336,291528
300,0.0,4,1839160,253720,260912
300,0.0,5,1709488,282240,289432
100,0.1,1,263104,104944,107336
100,0.1,2,259504,126344,128736
100,0.1,3,200544,81088,83480
100,0.1,4,221360,88952,91344
100,0.1,5,200448,87952,90344
200,0.1,1,900824,232992,237784
200,0.1,2,855848,179968,184760
200,0.1,3,919440,181088,185880
200,0.1,4,735872,182496,187288
200,0.1,5,773624,189856,194648
300,0.1,1,1666752,268032,275224
300,0.1,2,2031656,311224,318416
300,0.1,3,1358112,263336,270528
300,0.1,4,1729072,294312,301504
300,0.1,5,1739160,255896,263088
100,0.2,1,185400,90008,92400
100,0.2,2,232904,82488,84880
100,0.2,3,161312,79344,81736
100,0.2,4,179864,72304,74696
100,0.2,5,208728,90496,92888
200,0.2,1,784904,182504,187296
200,0.2,2,695248,165672,170464
200,0.2,3,791344,177256,182048
200,0.2,4,981000,220744,225536
200,0.2,5,862216,206304,211096
300,0.2,1,2045080,318040,325232
300,0.2,2,1843728,270448,277640
300,0.2,3,1900176,307760,314952
300,0.2,4,1833376,285608,292800
300,0.2,5,1833368,325520,332712
100,0.3,1,218384,83960,86352
100,0.3,2,204176,73040,75432
100,0.3,3,201112,72120,74512
100,0.3,4,232400,104232,106624
100,0.3,5,204264,106616,109008
200,0.3,1,866576,183328,188120
200,0.3,2,899600,202896,207688
200,0.3,3,762736,181016,185808
200,0.3,4,650560,161944,166736
200,0.3,5,850328,190504,195296
300,0.3,1,1871544,292512,299704
300,0.3,2,1425120,244824,252016
300,0.3,3,1535952,254360,261552
300,0.3,4,2063056,280072,287264
