N,P,X,Filesize,Cachesize
500,0.7,4,204800,288080
500,0.7,5,212992,514168
100,0.8,1,36864,110024
100,0.8,2,32768,127664
100,0.8,3,32768,129312
100,0.8,4,28672,68184
100,0.8,5,36864,69440
200,0.8,1,53248,93000
200,0.8,2,53248,102160
200,0.8,3,57344,306560
200,0.8,4,45056,123712
200,0.8,5,57344,117248
300,0.8,1,118784,458208
300,0.8,2,98304,213800
300,0.8,3,77824,138528
300,0.8,4,94208,276696
300,0.8,5,98304,176968
400,0.8,1,143360,135416
400,0.8,2,163840,275336
400,0.8,3,118784,210664
400,0.8,4,135168,173136
400,0.8,5,143360,340200
500,0.8,1,200704,416112
500,0.8,2,221184,410560
500,0.8,3,188416,211896
500,0.8,4,204800,429384
500,0.8,5,184320,114520
100,0.9,1,32768,77128
100,0.9,2,32768,106536
100,0.9,3,36864,104576
100,0.9,4,32768,133368
100,0.9,5,36864,60304
200,0.9,1,61440,148688
200,0.9,2,61440,139368
200,0.9,3,61440,156624
200,0.9,4,53248,45240
200,0.9,5,53248,90032
300,0.9,1,94208,161160
300,0.9,2,94208,193120
300,0.9,3,81920,86312
300,0.9,4,94208,249616
300,0.9,5,98304,247688
400,0.9,1,159744,279096
400,0.9,2,172032,382312
400,0.9,3,147456,440672
400,0.9,4,163840,374728
400,0.9,5,172032,190320
500,0.9,1,204800,394248
500,0.9,2,221184,321088
500,0.9,3,204800,222968
500,0.9,4,192512,264336
500,0.9,5,212992,240640
100,1.0,1,36864,63560
100,1.0,2,28672,109024
100,1.0,3,32768,68232
100,1.0,4,28672,43368
100,1.0,5,32768,71496
200,1.0,1,61440,220928
200,1.0,2,57344,152824
200,1.0,3,53248,220472
200,1.0,4,57344,110288
200,1.0,5,61440,182584
300,1.0,1,86016,433152
300,1.0,2,90112,165024
300,1.0,3,122880,379728
300,1.0,4,90112,96720
300,1.0,5,102400,203336
400,1.0,1,118784,334328
400,1.0,2,163840,205048
400,1.0,3,159744,381624
400,1.0,4,147456,244360
400,1.0,5,110592,283648
500,1.0,1,204800,475440
500,1.0,2,245760,625536
500,1.0,3,229376,175016
500,1.0,4,180224,400792
500,1.0,5,229376,320984
