N,P,X,Cmap,Parents,Children
300,0.6,4,162344,220200,227392
300,0.6,5,176784,205960,213152
400,0.6,1,262728,282192,291784
400,0.6,2,278360,278064,287656
400,0.6,3,219680,269760,279352
400,0.6,4,260720,289440,299032
400,0.6,5,259112,283464,293056
500,0.6,1,313552,341104,353096
500,0.6,2,324824,334224,346216
500,0.6,3,318640,346056,358048
500,0.6,4,365376,332056,344048
500,0.6,5,317856,342504,354496
100,0.7,1,41144,65968,68360
100,0.7,2,40280,70280,72672
100,0.7,3,38136,70400,72792
100,0.7,4,43240,72488,74880
100,0.7,5,51040,74608,77000
200,0.7,1,95328,131832,136624
200,0.7,2,103640,140936,145728
200,0.7,3,104912,139488,144280
200,0.7,4,84840,123056,127848
200,0.7,5,102472,143920,148712
300,0.7,1,184312,201192,208384
300,0.7,2,202496,218216,225408
300,0.7,3,163776,198880,206072
300,0.7,4,177624,217424,224616
300,0.7,5,134616,197144,204336
400,0.7,1,277736,285392,294984
400,0.7,2,239976,281968,291560
400,0.7,3,257624,293704,303296
400,0.7,4,252968,262712,272304
400,0.7,5,239136,279776,289368
500,0.7,1,374024,360184,372176
500,0.7,2,383472,362216,374208
500,0.7,3,347664,328016,340008
500,0.7,4,347744,345504,357496
500,0.7,5,348720,322624,334616
100,0.8,1,38608,65200,67592
100,0.8,2,37152,65928,68320
100,0.8,3,46224,76984,79376
100,0.8,4,39664,68560,70952
100,0.8,5,43424,60552,62944
200,0.8,1,114424,147752,152544
200,0.8,2,95152,150968,155760
200,0.8,3,97560,142280,147072
200,0.8,4,95176,137016,141808
200,0.8,5,94216,145312,150104
300,0.8,1,176528,213336,220528
300,0.8,2,167304,186632,193824
300,0.8,3,157496,187888,195080
300,0.8,4,172680,204720,211912
300,0.8,5,164200,205744,212936
400,0.8,1,232280,267136,276728
400,0.8,2,262144,278344,287936
400,0.8,3,266968,283904,293496
400,0.8,4,260352,262344,271936
400,0.8,5,227904,259440,269032
500,0.8,1,362520,340080,352072
500,0.8,2,349632,344176,356168
500,0.8,3,298064,339760,351752
500,0.8,4,326592,343648,355640
500,0.8,5,373864,338024,350016
100,0.9,1,38952,70176,72568
100,0.9,2,36472,63128,65520
100,0.9,3,51992,74992,77384
100,0.9,4,41288,69992,72384
100,0.9,5,39624,65520,67912
200,0.9,1,93112,140792,145584
200,0.9,2,88744,132944,137736
200,0.9,3,84880,126592,131384
200,0.9,4,93528,146184,150976
200,0.9,5,72080,121872,126664
300,0.9,1,174920,232056,239248
300,0.9,2,145864,196640,203832
300,0.9,3,160656,199656,206848
300,0.9,4,155528,221024,228216
300,0.9,5,167144,207824,215016
400,0.9,1,272608,278224,287816
400,0.9,2,226472,282632,292224
400,0.9,3,225456,265488,275080
400,0.9,4,262168,280816,290408
400,0.9,5,237288,276896,286488
500,0.9,1,334144,340312,352304
500,0.9,2,347848,356560,368552
500,0.9,3,272432,328256,340248
500,0.9,4,350008,344992,356984
500,0.9,5,358040,339536,351528
100,1.0,1,44568,65040,67432
100,1.0,2,48680,73880,76272
100,1.0,3,26480,54368,56760
100,1.0,4,33544,60160,62552
100,1.0,5,36144,61888,64280
200,1.0,1,105400,136144,140936
200,1.0,2,112920,142888,147680
200,1.0,3,75808,123944,128736
200,1.0,4,98328,134464,139256
200,1.0,5,100336,142448,147240
300,1.0,1,142960,216824,224016
300,1.0,2,154776,193248,200440
300,1.0,3,162936,196632,203824
300,1.0,4,154928,191400,198592
300,1.0,5,167664,193704,200896
400,1.0,1,239240,267280,276872
400,1.0,2,260704,262752,272344
400,1.0,3,280872,270576,280168
400,1.0,4,259728,280520,290112
400,1.0,5,274120,293736,303328
500,1.0,1,311304,334680,346672
500,1.0,2,339448,357992,369984
500,1.0,3,320352,333312,345304
500,1.0,4,352848,351128,363120
500,1.0,5,366080,357088,369080
