N,P,X,Cmap,ExecEnv
100,0.0,1,43504,79416
100,0.0,2,42368,73208
100,0.0,3,35728,76512
100,0.0,4,42256,90808
100,0.0,5,38584,71856
200,0.0,1,87896,141744
200,0.0,2,96376,152888
200,0.0,3,101616,137976
200,0.0,4,101576,145104
200,0.0,5,92528,152712
300,0.0,1,185136,234392
300,0.0,2,156896,219008
300,0.0,3,169832,240784
300,0.0,4,180432,223488
300,0.0,5,152992,218736
400,0.0,1,218240,290232
400,0.0,2,205280,275152
400,0.0,3,246704,303256
400,0.0,4,266760,298672
400,0.0,5,201216,265192
500,0.0,1,327528,384376
500,0.0,2,359024,387968
500,0.0,3,280280,363048
500,0.0,4,394448,384240
500,0.0,5,304672,367840
100,0.1,1,31360,58296
100,0.1,2,43896,74688
100,0.1,3,38024,69464
100,0.1,4,39320,76120
100,0.1,5,42008,73184
200,0.1,1,94336,155208
200,0.1,2,85440,148520
200,0.1,3,79912,145280
200,0.1,4,101152,143896
200,0.1,5,97896,137144
300,0.1,1,176280,230776
300,0.1,2,147264,212568
300,0.1,3,167320,201504
300,0.1,4,144488,215960
300,0.1,5,146592,219000
400,0.1,1,201256,264032
400,0.1,2,229736,291008
400,0.1,3,237616,315280
400,0.1,4,185992,283528
400,0.1,5,245824,296752
500,0.1,1,348152,365280
500,0.1,2,321608,375376
500,0.1,3,328552,367616
500,0.1,4,265832,343328
500,0.1,5,335384,375736
100,0.2,1,37976,69536
100,0.2,2,35920,74296
100,0.2,3,43816,76848
100,0.2,4,50208,72432
100,0.2,5,43024,77208
200,0.2,1,108616,143488
200,0.2,2,90560,151912
200,0.2,3,93504,148744
200,0.2,4,89048,144112
200,0.2,5,101592,149288
300,0.2,1,154472,215320
300,0.2,2,174816,215048
300,0.2,3,180808,227688
300,0.2,4,171152,235896
300,0.2,5,170616,223480
400,0.2,1,258360,291432
400,0.2,2,238576,299544
400,0.2,3,247176,288912
400,0.2,4,280832,306104
400,0.2,5,282272,294088
500,0.2,1,334408,369168
500,0.2,2,321160,356912
500,0.2,3,342480,369704
500,0.2,4,328296,358320
500,0.2,5,331240,354632
100,0.3,1,39704,80080
100,0.3,2,38360,71648
100,0.3,3,41608,76240
100,0.3,4,54816,96576
100,0.3,5,42656,80488
200,0.3,1,95736,154440
200,0.3,2,94288,150248
200,0.3,3,120440,160888
200,0.3,4,82168,144448
200,0.3,5,90552,135216
300,0.3,1,167112,216696
300,0.3,2,164600,215704
300,0.3,3,137488,212408
300,0.3,4,167608,218440
300,0.3,5,172112,227600
400,0.3,1,232872,301384
400,0.3,2,284752,298688
400,0.3,3,219344,298568
400,0.3,4,266472,297624
400,0.3,5,243744,312528
500,0.3,1,287576,370128
500,0.3,2,318664,371208
500,0.3,3,305616,385840
500,0.3,4,361032,355304
500,0.3,5,357400,381160
100,0.4,1,40504,73920
100,0.4,2,38344,65776
100,0.4,3,38984,73464
100,0.4,4,39664,77000
100,0.4,5,31616,66792
200,0.4,1,82408,146872
200,0.4,2,77560,137096
200,0.4,3,88568,140560
200,0.4,4,92272,152368
200,0.4,5,100912,151864
300,0.4,1,182552,238760
300,0.4,2,150648,215352
300,0.4,3,149392,215600
300,0.4,4,155776,212344
300,0.4,5,152808,232592
400,0.4,1,232368,309712
400,0.4,2,228616,307592
400,0.4,3,242688,303040
400,0.4,4,235072,289584
400,0.4,5,241096,290024
500,0.4,1,294440,381032
500,0.4,2,316736,355944
500,0.4,3,390816,392640
500,0.4,4,326336,377696
500,0.4,5,306704,384376
100,0.5,1,43192,69888
100,0.5,2,44960,68840
100,0.5,3,50088,80064
100,0.5,4,37096,70720
100,0.5,5,38792,74704
200,0.5,1,84264,138248
