benchmark, mean    , stddev
Plain    , 387.5 μs, 11.28 μs
Default  , 1.852 ms, 33.37 μs
Patch    , 58.67 ms, 5.417 ms
Improved , 1.731 ms, 52.56 μs
Disk     , 3.200 s , 20.64 ms
