N,P,X,Cmap,Parents,Children
300,0.6,4,158472,208472,215664
300,0.6,5,179776,202400,209592
400,0.6,1,280936,290728,300320
400,0.6,2,237384,274888,284480
400,0.6,3,255664,263336,272928
400,0.6,4,263200,282128,291720
400,0.6,5,253976,281296,290888
500,0.6,1,375664,351288,363280
500,0.6,2,358832,330376,342368
500,0.6,3,408904,354824,366816
500,0.6,4,298592,323696,335688
500,0.6,5,398800,369280,381272
100,0.7,1,36256,59752,62144
100,0.7,2,33440,57008,59400
100,0.7,3,46616,68752,71144
100,0.7,4,41536,67560,69952
100,0.7,5,33736,53896,56288
200,0.7,1,113040,144232,149024
200,0.7,2,102392,128960,133752
200,0.7,3,92800,137864,142656
200,0.7,4,87640,130752,135544
200,0.7,5,103096,148496,153288
300,0.7,1,151504,204080,211272
300,0.7,2,154488,207928,215120
300,0.7,3,173064,206688,213880
300,0.7,4,124336,186784,193976
300,0.7,5,176880,216688,223880
400,0.7,1,241840,274712,284304
400,0.7,2,231856,276640,286232
400,0.7,3,234112,272712,282304
400,0.7,4,232232,271088,280704
400,0.7,5,223456,273440,283032
500,0.7,1,371312,341568,353560
500,0.7,2,381968,346256,358248
500,0.7,3,382512,336880,348872
500,0.7,4,343536,342624,354616
500,0.7,5,302008,343920,355912
100,0.8,1,31696,64824,67216
100,0.8,2,37120,63776,66168
100,0.8,3,39648,63776,66168
100,0.8,4,36368,65264,67656
100,0.8,5,36672,67032,69424
200,0.8,1,119080,131800,136592
200,0.8,2,92304,143176,147968
200,0.8,3,95368,136912,141704
200,0.8,4,108560,131952,136744
200,0.8,5,91032,143040,147832
300,0.8,1,185512,214368,221560
300,0.8,2,147224,218064,225256
300,0.8,3,191576,199648,206840
300,0.8,4,142704,192512,199704
300,0.8,5,167384,202744,209936
400,0.8,1,261216,288288,297880
400,0.8,2,248496,286984,296576
400,0.8,3,232736,272320,281912
400,0.8,4,247952,266272,275864
400,0.8,5,237744,260544,270136
500,0.8,1,305368,330608,342600
500,0.8,2,299144,340480,352496
500,0.8,3,323296,368088,380080
500,0.8,4,339808,324224,336216
500,0.8,5,331504,334400,346392
100,0.9,1,33600,71000,73392
100,0.9,2,40488,66720,69112
100,0.9,3,34296,70504,72896
100,0.9,4,49328,72248,74640
100,0.9,5,37384,74776,77168
200,0.9,1,115432,143080,147872
200,0.9,2,116928,168664,173456
200,0.9,3,110992,144208,149000
200,0.9,4,91240,130648,135440
200,0.9,5,107728,135544,140336
300,0.9,1,159704,191528,198720
300,0.9,2,165944,198960,206152
300,0.9,3,152592,204120,211312
300,0.9,4,164120,201320,208512
300,0.9,5,133272,193112,200304
400,0.9,1,222544,262872,272464
400,0.9,2,259480,277720,287312
400,0.9,3,221472,272392,281984
400,0.9,4,235744,275992,285584
400,0.9,5,238552,263808,273400
500,0.9,1,370592,352584,364576
500,0.9,2,342848,367224,379216
500,0.9,3,352016,347344,359360
500,0.9,4,370392,350840,362832
500,0.9,5,367232,355352,367344
100,1.0,1,44104,66312,68704
100,1.0,2,33792,71448,73840
100,1.0,3,45320,73184,75576
100,1.0,4,41232,63440,65832
100,1.0,5,36512,60336,62728
200,1.0,1,102440,133224,138016
200,1.0,2,112928,151176,155968
200,1.0,3,116168,133440,138232
200,1.0,4,72656,123472,128264
200,1.0,5,91040,138912,143704
300,1.0,1,153136,209776,216968
300,1.0,2,204784,224728,231920
300,1.0,3,207208,231472,238664
300,1.0,4,177160,204872,212064
300,1.0,5,195264,207216,214408
400,1.0,1,269336,265944,275536
400,1.0,2,214224,276728,286320
400,1.0,3,281424,281936,291528
400,1.0,4,266272,297528,307120
400,1.0,5,226128,265016,274608
500,1.0,1,257200,311712,323704
500,1.0,2,371880,351368,363360
500,1.0,3,385568,346696,358688
500,1.0,4,354576,356080,368072
500,1.0,5,350768,338840,350856
