N,P,X,Cmap,ExecEnv
1,0.0,1,16504,88
1,0.0,2,16504,88
1,0.0,3,16504,88
1,0.0,4,16504,88
1,0.0,5,16504,88
2,0.0,1,33016,680
2,0.0,2,33016,464
2,0.0,3,33016,5656
2,0.0,4,33016,808
2,0.0,5,33016,2336
3,0.0,1,49528,2312
3,0.0,2,49528,2032
3,0.0,3,49528,3152
3,0.0,4,49528,1096
3,0.0,5,49528,2760
4,0.0,1,66040,3800
4,0.0,2,66040,2128
4,0.0,3,66040,4488
4,0.0,4,66040,1736
4,0.0,5,66040,2424
5,0.0,1,82552,3584
5,0.0,2,82552,3800
5,0.0,3,82552,4816
5,0.0,4,82552,3088
5,0.0,5,82552,3864
6,0.0,1,99064,6312
6,0.0,2,99064,3488
6,0.0,3,99064,1680
6,0.0,4,99064,2952
6,0.0,5,99064,6032
7,0.0,1,115576,4456
7,0.0,2,115576,6200
7,0.0,3,115576,7728
7,0.0,4,115576,4920
7,0.0,5,115576,5456
8,0.0,1,132088,5208
8,0.0,2,132088,6152
8,0.0,3,132088,6640
8,0.0,4,132088,3888
8,0.0,5,132088,7512
9,0.0,1,148600,6776
9,0.0,2,148600,7368
9,0.0,3,148600,7728
9,0.0,4,148600,6848
9,0.0,5,148600,6896
10,0.0,1,165112,8744
10,0.0,2,165112,8528
10,0.0,3,165112,10072
10,0.0,4,165112,5912
10,0.0,5,165112,5480
11,0.0,1,181624,8824
11,0.0,2,181624,10848
11,0.0,3,181624,7360
11,0.0,4,181624,7784
11,0.0,5,181624,6336
12,0.0,1,198136,9056
12,0.0,2,198136,6840
12,0.0,3,198136,9720
12,0.0,4,198136,7552
12,0.0,5,198136,15200
13,0.0,1,214648,9296
13,0.0,2,214648,12096
13,0.0,3,214648,10624
13,0.0,4,214648,9520
13,0.0,5,214648,8920
14,0.0,1,231160,12224
14,0.0,2,231160,7952
14,0.0,3,231160,12112
14,0.0,4,231160,14032
14,0.0,5,231160,8408
15,0.0,1,247672,10064
15,0.0,2,247672,11000
15,0.0,3,247672,8312
15,0.0,4,247672,10192
15,0.0,5,247672,15288
16,0.0,1,264184,9816
16,0.0,2,264184,15616
16,0.0,3,264184,10552
16,0.0,4,264184,12448
16,0.0,5,264184,11048
17,0.0,1,280696,17704
17,0.0,2,280696,13040
17,0.0,3,280696,13376
17,0.0,4,280696,9192
17,0.0,5,280696,12048
18,0.0,1,297208,14544
18,0.0,2,297208,11616
18,0.0,3,297208,14952
18,0.0,4,297208,12280
18,0.0,5,297208,13784
19,0.0,1,313720,11400
19,0.0,2,313720,12736
19,0.0,3,313720,14376
19,0.0,4,313720,16168
19,0.0,5,313720,10704
20,0.0,1,330232,15400
20,0.0,2,330232,13592
20,0.0,3,330232,17040
20,0.0,4,330232,14144
20,0.0,5,330232,17528
21,0.0,1,346744,14304
21,0.0,2,346744,17680
21,0.0,3,346744,15008
21,0.0,4,346744,15176
21,0.0,5,346744,19888
22,0.0,1,363256,20128
22,0.0,2,363256,16144
22,0.0,3,363256,18984
22,0.0,4,363256,16696
22,0.0,5,363256,19272
23,0.0,1,379768,15792
23,0.0,2,379768,14960
23,0.0,3,379768,17456
23,0.0,4,379768,16400
23,0.0,5,379768,17848
24,0.0,1,396280,17336
24,0.0,2,396280,19144
24,0.0,3,396280,23296
24,0.0,4,396280,16688
24,0.0,5,396280,20192
25,0.0,1,412792,22560
25,0.0,2,412792,22712
25,0.0,3,412792,27080
25,0.0,4,412792,20432
25,0.0,5,412792,19752
26,0.0,1,429304,15648
26,0.0,2,429304,21968
26,0.0,3,429304,18104
26,0.0,4,429304,23288
26,0.0,5,429304,15376
27,0.0,1,445816,20784
27,0.0,2,445816,17712
27,0.0,3,445816,23000
27,0.0,4,445816,22616
27,0.0,5,445816,22656
28,0.0,1,462328,24040
28,0.0,2,462328,21552
28,0.0,3,462328,18424
28,0.0,4,462328,19784
28,0.0,5,462328,18968
29,0.0,1,478840,24048
29,0.0,2,478840,21376
29,0.0,3,478840,17128
29,0.0,4,478840,26360
29,0.0,5,478840,18448
30,0.0,1,495352,18384
30,0.0,2,495352,27504
30,0.0,3,495352,21736
30,0.0,4,495352,24920
30,0.0,5,495352,20576
31,0.0,1,511864,20304
31,0.0,2,511864,22048
31,0.0,3,511864,32272
31,0.0,4,511864,18904
31,0.0,5,511864,22696
32,0.0,1,528376,26728
32,0.0,2,528376,18896
32,0.0,3,528376,27192
32,0.0,4,528376,23360
32,0.0,5,528376,19464
33,0.0,1,544888,26840
33,0.0,2,544888,28048
33,0.0,3,544888,32200
33,0.0,4,544888,22088
33,0.0,5,544888,34184
34,0.0,1,561400,22736
34,0.0,2,561400,27288
34,0.0,3,561400,26120
34,0.0,4,561400,28824
34,0.0,5,561400,24368
35,0.0,1,577912,30648
35,0.0,2,577912,28512
35,0.0,3,577912,29328
35,0.0,4,577912,23192
35,0.0,5,577912,26832
36,0.0,1,594424,28024
36,0.0,2,594424,24784
36,0.0,3,594424,32664
36,0.0,4,594424,25960
36,0.0,5,594424,28184
37,0.0,1,610936,29840
37,0.0,2,610936,29336
37,0.0,3,610936,21392
37,0.0,4,610936,24992
37,0.0,5,610936,22312
38,0.0,1,627448,32304
38,0.0,2,627448,30608
38,0.0,3,627448,28480
38,0.0,4,627448,31288
38,0.0,5,627448,25456
39,0.0,1,643960,31120
39,0.0,2,643960,31320
39,0.0,3,643960,23672
39,0.0,4,643960,28528
39,0.0,5,643960,29568
40,0.0,1,660472,34552
40,0.0,2,660472,27896
40,0.0,3,660472,31208
40,0.0,4,660472,32664
40,0.0,5,660472,27576
41,0.0,1,676984,32456
41,0.0,2,676984,31488
41,0.0,3,676984,31064
41,0.0,4,676984,28456
41,0.0,5,676984,28872
42,0.0,1,693496,31384
42,0.0,2,693496,31056
42,0.0,3,693496,26992
42,0.0,4,693496,25752
42,0.0,5,693496,32968
43,0.0,1,710008,29656
43,0.0,2,710008,28480
43,0.0,3,710008,38496
43,0.0,4,710008,38456
43,0.0,5,710008,25816
44,0.0,1,726520,34880
44,0.0,2,726520,33688
44,0.0,3,726520,28384
44,0.0,4,726520,35912
44,0.0,5,726520,35984
45,0.0,1,743032,35680
45,0.0,2,743032,31768
45,0.0,3,743032,28088
45,0.0,4,743032,38088
45,0.0,5,743032,32832
46,0.0,1,759544,31432
46,0.0,2,759544,35912
46,0.0,3,759544,38448
46,0.0,4,759544,32296
46,0.0,5,759544,29688
47,0.0,1,776056,34704
47,0.0,2,776056,34720
47,0.0,3,776056,38336
47,0.0,4,776056,39424
47,0.0,5,776056,35280
48,0.0,1,792568,37000
48,0.0,2,792568,42304
48,0.0,3,792568,40288
48,0.0,4,792568,35328
48,0.0,5,792568,35504
49,0.0,1,809080,33424
49,0.0,2,809080,32640
49,0.0,3,809080,32072
49,0.0,4,809080,40520
49,0.0,5,809080,45024
50,0.0,1,825592,46768
50,0.0,2,825592,40240
50,0.0,3,825592,38768
50,0.0,4,825592,27728
50,0.0,5,825592,33680
51,0.0,1,842104,50656
51,0.0,2,842104,39400
51,0.0,3,842104,34792
51,0.0,4,842104,37768
51,0.0,5,842104,35712
52,0.0,1,858616,38592
52,0.0,2,858616,38832
52,0.0,3,858616,39376
52,0.0,4,858616,44216
52,0.0,5,858616,43448
53,0.0,1,875128,37000
53,0.0,2,875128,39728
53,0.0,3,875128,37120
53,0.0,4,875128,38136
53,0.0,5,875128,38056
54,0.0,1,891640,41304
54,0.0,2,891640,33120
54,0.0,3,891640,42944
54,0.0,4,891640,39304
54,0.0,5,891640,44000
55,0.0,1,908152,35760
55,0.0,2,908152,42880
55,0.0,3,908152,43456
55,0.0,4,908152,48200
55,0.0,5,908152,39328
56,0.0,1,924664,47960
56,0.0,2,924664,45736
56,0.0,3,924664,42448
56,0.0,4,924664,36440
56,0.0,5,924664,43704
57,0.0,1,941176,46312
57,0.0,2,941176,46432
57,0.0,3,941176,41144
57,0.0,4,941176,39200
57,0.0,5,941176,48624
58,0.0,1,957688,38168
58,0.0,2,957688,43752
58,0.0,3,957688,41744
58,0.0,4,957688,46064
58,0.0,5,957688,37424
59,0.0,1,974200,38160
59,0.0,2,974200,44600
59,0.0,3,974200,40928
59,0.0,4,974200,40784
59,0.0,5,974200,40352
60,0.0,1,990712,43784
60,0.0,2,990712,48040
60,0.0,3,990712,38728
60,0.0,4,990712,47936
60,0.0,5,990712,44768
61,0.0,1,1007224,42736
61,0.0,2,1007224,49912
61,0.0,3,1007224,49512
61,0.0,4,1007224,50008
61,0.0,5,1007224,45568
62,0.0,1,1023736,47704
62,0.0,2,1023736,49472
62,0.0,3,1023736,43440
62,0.0,4,1023736,45504
62,0.0,5,1023736,50672
63,0.0,1,1040248,52048
63,0.0,2,1040248,58488
63,0.0,3,1040248,58792
63,0.0,4,1040248,43624
63,0.0,5,1040248,48504
64,0.0,1,1056760,45680
64,0.0,2,1056760,44696
64,0.0,3,1056760,49984
64,0.0,4,1056760,53744
64,0.0,5,1056760,50392
65,0.0,1,1073272,57536
65,0.0,2,1073272,54448
65,0.0,3,1073272,48608
65,0.0,4,1073272,45440
65,0.0,5,1073272,48960
66,0.0,1,1089784,47704
66,0.0,2,1089784,46920
66,0.0,3,1089784,48696
66,0.0,4,1089784,53608
66,0.0,5,1089784,60400
67,0.0,1,1106296,43824
67,0.0,2,1106296,57688
67,0.0,3,1106296,58136
67,0.0,4,1106296,43552
67,0.0,5,1106296,56072
68,0.0,1,1122808,47296
68,0.0,2,1122808,49200
68,0.0,3,1122808,52752
68,0.0,4,1122808,53552
68,0.0,5,1122808,54472
69,0.0,1,1139320,51448
69,0.0,2,1139320,48536
69,0.0,3,1139320,56432
69,0.0,4,1139320,54704
69,0.0,5,1139320,51800
70,0.0,1,1155832,53240
70,0.0,2,1155832,53080
70,0.0,3,1155832,56144
70,0.0,4,1155832,51360
70,0.0,5,1155832,52472
