N,P,X,Cmap,ExecEnv
500,0.7,4,515536,384368
500,0.7,5,536760,382296
100,0.8,1,109568,73664
100,0.8,2,81056,75640
100,0.8,3,82192,75608
100,0.8,4,59304,71712
100,0.8,5,92768,79640
200,0.8,1,149768,144216
200,0.8,2,190464,152136
200,0.8,3,160784,141192
200,0.8,4,143752,130008
200,0.8,5,185496,152352
300,0.8,1,315248,232848
300,0.8,2,309696,221912
300,0.8,3,216560,208920
300,0.8,4,250728,220104
300,0.8,5,291856,224808
400,0.8,1,385856,282296
400,0.8,2,455408,311712
400,0.8,3,358704,289336
400,0.8,4,380072,289480
400,0.8,5,344936,316152
500,0.8,1,467032,376184
500,0.8,2,494544,363712
500,0.8,3,478544,374240
500,0.8,4,488992,387376
500,0.8,5,488816,368368
100,0.9,1,73272,74568
100,0.9,2,96392,75704
100,0.9,3,121624,77232
100,0.9,4,113824,75384
100,0.9,5,104592,71744
200,0.9,1,160688,148352
200,0.9,2,175704,146352
200,0.9,3,180232,153904
200,0.9,4,161656,147240
200,0.9,5,150656,129992
300,0.9,1,265232,227936
300,0.9,2,272664,208424
300,0.9,3,236056,221048
300,0.9,4,272200,220872
300,0.9,5,267992,227136
400,0.9,1,417800,310536
400,0.9,2,450608,307240
400,0.9,3,434768,308328
400,0.9,4,363952,280600
400,0.9,5,394408,307232
500,0.9,1,497832,367032
500,0.9,2,539728,388400
500,0.9,3,461384,348088
500,0.9,4,491424,375768
500,0.9,5,510448,369648
100,1.0,1,106872,74816
100,1.0,2,64424,75168
100,1.0,3,84400,70528
100,1.0,4,84456,66984
100,1.0,5,89168,72904
200,1.0,1,195712,154400
200,1.0,2,150648,147032
200,1.0,3,150216,141544
200,1.0,4,186216,153168
200,1.0,5,164368,145888
300,1.0,1,295488,240864
300,1.0,2,274280,215392
300,1.0,3,316424,228368
300,1.0,4,266376,229896
300,1.0,5,273656,210456
400,1.0,1,378112,286936
400,1.0,2,449984,301000
400,1.0,3,402880,301824
400,1.0,4,430352,298464
400,1.0,5,298040,275456
500,1.0,1,487824,371736
500,1.0,2,591272,393744
500,1.0,3,553760,394672
500,1.0,4,443928,357488
500,1.0,5,525936,377816
