N,P,X,History
100,1.0,4,80712
100,1.0,5,82856
200,1.0,1,207696
200,1.0,2,216744
200,1.0,3,170456
200,1.0,4,195944
200,1.0,5,207536
300,1.0,1,308880
300,1.0,2,296512
300,1.0,3,312056
300,1.0,4,293696
300,1.0,5,308704
400,1.0,1,438512
400,1.0,2,455688
400,1.0,3,485768
400,1.0,4,467616
400,1.0,5,496424
500,1.0,1,566344
500,1.0,2,603720
500,1.0,3,574848
500,1.0,4,610808
500,1.0,5,634136
