N,P,X,Cmap,ExecEnv
100,0.0,1,50424,78560
100,0.0,2,36672,77752
100,0.0,3,36736,73760
100,0.0,4,36784,74984
100,0.0,5,43896,79192
200,0.0,1,92560,157832
200,0.0,2,105680,153688
200,0.0,3,98024,151792
200,0.0,4,108264,149120
200,0.0,5,78864,143720
300,0.0,1,206144,231240
300,0.0,2,143968,205536
300,0.0,3,183384,229072
300,0.0,4,195656,227936
300,0.0,5,139768,199448
400,0.0,1,248368,311528
400,0.0,2,193264,289872
400,0.0,3,220240,295688
400,0.0,4,242368,298168
400,0.0,5,227592,278328
500,0.0,1,301232,388096
500,0.0,2,412352,365176
500,0.0,3,258448,379424
500,0.0,4,354904,358336
500,0.0,5,350800,382160
100,0.1,1,45456,79088
100,0.1,2,41496,72792
100,0.1,3,39120,66376
100,0.1,4,36232,71352
100,0.1,5,45264,83264
200,0.1,1,109224,152216
200,0.1,2,83720,147240
200,0.1,3,108920,157296
200,0.1,4,80912,136072
200,0.1,5,103984,166160
300,0.1,1,159032,220792
300,0.1,2,173960,225960
300,0.1,3,150376,206096
300,0.1,4,159368,231920
300,0.1,5,159256,222288
400,0.1,1,228776,293896
400,0.1,2,235080,294280
400,0.1,3,251600,276808
400,0.1,4,228528,278464
400,0.1,5,229328,301568
500,0.1,1,360664,359504
500,0.1,2,344152,356232
500,0.1,3,337080,364088
500,0.1,4,319112,378720
500,0.1,5,291672,351144
100,0.2,1,45600,75624
100,0.2,2,50248,82336
100,0.2,3,41416,77144
100,0.2,4,38376,62992
100,0.2,5,39472,65688
200,0.2,1,118352,158096
200,0.2,2,77072,133920
200,0.2,3,95232,139656
200,0.2,4,99600,145840
200,0.2,5,99624,143224
300,0.2,1,161624,220984
300,0.2,2,157536,209952
300,0.2,3,141424,216960
300,0.2,4,151856,228800
300,0.2,5,163600,229648
400,0.2,1,232384,300384
400,0.2,2,271168,313520
400,0.2,3,232416,297688
400,0.2,4,228312,292896
400,0.2,5,258584,306616
500,0.2,1,356528,382576
500,0.2,2,300128,356376
500,0.2,3,379456,383384
500,0.2,4,332216,381176
500,0.2,5,389016,363296
100,0.3,1,39256,62936
100,0.3,2,47680,80440
100,0.3,3,34672,70272
100,0.3,4,34704,78008
100,0.3,5,38072,75992
200,0.3,1,98896,157832
200,0.3,2,88680,148920
200,0.3,3,103768,154104
200,0.3,4,101904,153496
200,0.3,5,81120,136856
300,0.3,1,145136,225040
300,0.3,2,168016,220896
300,0.3,3,165752,223080
300,0.3,4,165880,223656
300,0.3,5,160432,234288
400,0.3,1,239936,318264
400,0.3,2,255760,285216
400,0.3,3,249128,301736
400,0.3,4,231472,295632
400,0.3,5,280568,311800
500,0.3,1,323336,364360
500,0.3,2,311568,355056
500,0.3,3,310608,364472
500,0.3,4,371072,367344
500,0.3,5,365672,384024
100,0.4,1,45640,70904
100,0.4,2,44688,81536
100,0.4,3,41456,71624
100,0.4,4,34296,74744
100,0.4,5,30440,68200
200,0.4,1,109976,149272
200,0.4,2,101128,154784
200,0.4,3,95296,141064
200,0.4,4,73464,150224
200,0.4,5,80544,144880
300,0.4,1,171816,226184
300,0.4,2,185920,224888
300,0.4,3,164024,224216
300,0.4,4,169832,225104
300,0.4,5,181408,231832
400,0.4,1,246128,293696
400,0.4,2,253696,297744
400,0.4,3,277312,296088
400,0.4,4,228768,289768
400,0.4,5,220304,291376
500,0.4,1,335536,356128
500,0.4,2,309512,363896
500,0.4,3,342408,358936
500,0.4,4,315048,379536
500,0.4,5,368272,376840
100,0.5,1,36832,71872
100,0.5,2,43264,75872
100,0.5,3,51456,78056
100,0.5,4,36432,68928
100,0.5,5,40160,77624
200,0.5,1,81376,144080
200,0.5,2,102288,152048
200,0.5,3,89776,143928
200,0.5,4,109560,146928
200,0.5,5,102688,139112
300,0.5,1,141488,228656
300,0.5,2,157912,216184
300,0.5,3,155144,231432
300,0.5,4,174616,229216
