N,P,X,Cmap,Parents,Children
33,0.0,5,22920,32248,33032
34,0.0,1,10200,20744,21552
34,0.0,2,15080,25296,26104
34,0.0,3,15344,24128,24936
34,0.0,4,12864,26832,27640
34,0.0,5,10968,22376,23184
35,0.0,1,20224,28600,29432
35,0.0,2,9608,26464,27296
35,0.0,3,14168,27280,28112
35,0.0,4,11936,21144,21976
35,0.0,5,8600,24784,25616
36,0.0,1,11920,25920,26776
36,0.0,2,14504,22680,23536
36,0.0,3,15200,30560,31416
36,0.0,4,12200,23856,24712
36,0.0,5,16680,26080,26936
37,0.0,1,16744,27680,28560
37,0.0,2,9112,27176,28056
37,0.0,3,6336,19232,20112
37,0.0,4,15112,22832,23712
37,0.0,5,13416,20152,21032
38,0.0,1,14088,30088,30992
38,0.0,2,17272,28392,29296
38,0.0,3,16120,26264,27168
38,0.0,4,16904,29072,29976
38,0.0,5,15032,23240,24144
39,0.0,1,18480,28848,29776
39,0.0,2,17848,29048,29976
39,0.0,3,14104,21400,22328
39,0.0,4,12896,26256,27184
39,0.0,5,16128,27296,28224
40,0.0,1,19216,32224,33176
40,0.0,2,12632,25568,26520
40,0.0,3,14168,28880,29832
40,0.0,4,17648,30336,31288
40,0.0,5,13328,25248,26200
41,0.0,1,17472,30072,31048
41,0.0,2,19376,29104,30080
41,0.0,3,19240,28680,29656
41,0.0,4,14624,26072,27048
41,0.0,5,15736,26488,27464
42,0.0,1,15704,28944,29944
42,0.0,2,16744,28616,29616
42,0.0,3,16072,24552,25552
42,0.0,4,13096,23312,24312
42,0.0,5,15864,30528,31528
43,0.0,1,16792,27160,28184
43,0.0,2,11008,25984,27008
43,0.0,3,16440,36000,37024
43,0.0,4,21648,35960,36984
43,0.0,5,13032,23320,24344
44,0.0,1,17944,32328,33376
44,0.0,2,20128,31136,32184
44,0.0,3,10872,25832,26880
44,0.0,4,15808,33360,34408
44,0.0,5,19008,33432,34480
45,0.0,1,22464,33072,34144
45,0.0,2,16112,29160,30232
45,0.0,3,16648,25480,26552
45,0.0,4,16576,35480,36552
45,0.0,5,18160,30224,31296
46,0.0,1,8720,28768,29864
46,0.0,2,22624,33248,34344
46,0.0,3,20376,35784,36880
46,0.0,4,15168,29632,30728
46,0.0,5,14816,27024,28120
47,0.0,1,14720,31984,33104
47,0.0,2,14072,32000,33120
47,0.0,3,24192,35616,36736
47,0.0,4,20576,36704,37824
47,0.0,5,19552,32560,33680
48,0.0,1,19360,34224,35368
48,0.0,2,20472,39528,40672
