N,P,X,Cmap,ExecEnv
100,0.0,1,1651192,79416
100,0.0,2,1651192,73208
100,0.0,3,1651192,76512
100,0.0,4,1651192,90808
100,0.0,5,1651192,71856
200,0.0,1,3302392,141744
200,0.0,2,3302392,152888
200,0.0,3,3302392,137976
200,0.0,4,3302392,145104
200,0.0,5,3302392,152712
300,0.0,1,4953592,234392
300,0.0,2,4953592,219008
300,0.0,3,4953592,240784
300,0.0,4,4953592,223488
300,0.0,5,4953592,218736
400,0.0,1,6604792,290232
400,0.0,2,6604792,275152
400,0.0,3,6604792,303256
400,0.0,4,6604792,298672
400,0.0,5,6604792,265192
500,0.0,1,8255992,384376
500,0.0,2,8255992,387968
500,0.0,3,8255992,363048
500,0.0,4,8255992,384240
500,0.0,5,8255992,367840
100,0.1,1,1651192,58296
100,0.1,2,1651192,74688
100,0.1,3,1651192,69464
100,0.1,4,1651192,76120
100,0.1,5,1651192,73184
200,0.1,1,3302392,155208
200,0.1,2,3302392,148520
200,0.1,3,3302392,145280
200,0.1,4,3302392,143896
200,0.1,5,3302392,137144
300,0.1,1,4953592,230776
300,0.1,2,4953592,212568
300,0.1,3,4953592,201504
300,0.1,4,4953592,215960
300,0.1,5,4953592,219000
400,0.1,1,6604792,264032
400,0.1,2,6604792,291008
400,0.1,3,6604792,315280
400,0.1,4,6604792,283528
400,0.1,5,6604792,296752
500,0.1,1,8255992,365280
500,0.1,2,8255992,375376
500,0.1,3,8255992,367616
500,0.1,4,8255992,343328
500,0.1,5,8255992,375736
100,0.2,1,1651192,69536
100,0.2,2,1651192,74296
100,0.2,3,1651192,76848
100,0.2,4,1651192,72432
100,0.2,5,1651192,77208
200,0.2,1,3302392,143488
200,0.2,2,3302392,151912
200,0.2,3,3302392,148744
200,0.2,4,3302392,144112
200,0.2,5,3302392,149288
300,0.2,1,4953592,215320
300,0.2,2,4953592,215048
300,0.2,3,4953592,227688
300,0.2,4,4953592,235896
300,0.2,5,4953592,223480
400,0.2,1,6604792,291432
400,0.2,2,6604792,299544
400,0.2,3,6604792,288912
400,0.2,4,6604792,306104
400,0.2,5,6604792,294088
500,0.2,1,8255992,369168
500,0.2,2,8255992,356912
500,0.2,3,8255992,369704
500,0.2,4,8255992,358320
500,0.2,5,8255992,354632
100,0.3,1,1651192,80080
100,0.3,2,1651192,71648
100,0.3,3,1651192,76240
100,0.3,4,1651192,96576
100,0.3,5,1651192,80488
200,0.3,1,3302392,154440
200,0.3,2,3302392,150248
200,0.3,3,3302392,160888
200,0.3,4,3302392,144448
200,0.3,5,3302392,135216
300,0.3,1,4953592,216696
300,0.3,2,4953592,215704
300,0.3,3,4953592,212408
300,0.3,4,4953592,218440
300,0.3,5,4953592,227600
400,0.3,1,6604792,301384
400,0.3,2,6604792,298688
400,0.3,3,6604792,298568
