N,P,X,Cmap,Parents,Children
100,0.0,1,39608,73728,76120
100,0.0,2,38472,67520,69912
100,0.0,3,31832,70824,73216
100,0.0,4,38360,85120,87512
100,0.0,5,34688,66168,68560
200,0.0,1,80000,130456,135248
200,0.0,2,88480,141600,146392
200,0.0,3,93720,126688,131480
200,0.0,4,93680,133816,138608
200,0.0,5,84632,141424,146216
300,0.0,1,173240,217504,224696
300,0.0,2,145000,202120,209312
300,0.0,3,157936,223896,231088
300,0.0,4,168536,206600,213792
300,0.0,5,141096,201848,209040
400,0.0,1,202344,267744,277336
400,0.0,2,189384,252664,262256
400,0.0,3,230808,280768,290360
400,0.0,4,250864,276184,285776
400,0.0,5,185320,242704,252296
500,0.0,1,307632,356288,368280
500,0.0,2,339128,359880,371872
500,0.0,3,260384,334960,346952
500,0.0,4,374552,356152,368144
500,0.0,5,284776,339752,351744
100,0.1,1,27464,52608,55000
100,0.1,2,40000,69000,71392
100,0.1,3,34128,63776,66168
100,0.1,4,35424,70432,72824
100,0.1,5,38112,67496,69888
200,0.1,1,86440,143920,148712
200,0.1,2,77544,137232,142024
200,0.1,3,72016,133992,138784
200,0.1,4,93256,132608,137400
200,0.1,5,90000,125856,130648
300,0.1,1,164384,213888,221080
300,0.1,2,135368,195680,202872
300,0.1,3,155424,184616,191808
300,0.1,4,132592,199072,206264
300,0.1,5,134696,202112,209304
400,0.1,1,185360,241544,251136
400,0.1,2,213840,268520,278112
400,0.1,3,221720,292792,302384
400,0.1,4,170096,261040,270632
400,0.1,5,229928,274264,283856
500,0.1,1,328256,337192,349184
500,0.1,2,301712,347288,359280
500,0.1,3,308656,339528,351520
500,0.1,4,245936,315240,327232
500,0.1,5,315488,347648,359640
100,0.2,1,34080,63848,66240
100,0.2,2,32024,68608,71000
100,0.2,3,39920,71160,73552
100,0.2,4,46312,66744,69136
100,0.2,5,39128,71520,73912
200,0.2,1,100720,132200,136992
200,0.2,2,82664,140624,145416
200,0.2,3,85608,137456,142248
200,0.2,4,81152,132824,137616
200,0.2,5,93696,138000,142792
300,0.2,1,142576,198432,205624
300,0.2,2,162920,198160,205352
300,0.2,3,168912,210800,217992
300,0.2,4,159256,219008,226200
300,0.2,5,158720,206592,213784
400,0.2,1,242464,268944,278536
400,0.2,2,222680,277056,286648
400,0.2,3,231280,266424,276016
400,0.2,4,264936,283616,293208
400,0.2,5,266376,271600,281192
500,0.2,1,314512,341080,353072
500,0.2,2,301264,328824,340816
500,0.2,3,322584,341616,353608
500,0.2,4,308400,330232,342224
500,0.2,5,311344,326544,338536
100,0.3,1,35808,74392,76784
100,0.3,2,34464,65960,68352
100,0.3,3,37712,70552,72944
100,0.3,4,50920,90888,93280
100,0.3,5,38760,74800,77192
200,0.3,1,87840,143152,147944
200,0.3,2,86392,138960,143752
200,0.3,3,112544,149600,154392
200,0.3,4,74272,133160,137952
200,0.3,5,82656,123928,128720
300,0.3,1,155216,199808,207000
300,0.3,2,152704,198816,206008
300,0.3,3,125592,195520,202712
300,0.3,4,155712,201552,208744
300,0.3,5,160216,210712,217904
400,0.3,1,216976,278896,288488
400,0.3,2,268856,276200,285792
400,0.3,3,203448,276080,285672
400,0.3,4,250576,275136,284728
400,0.3,5,227848,290040,299632
500,0.3,1,267680,342040,354032
500,0.3,2,298768,343120,355112
500,0.3,3,285720,357752,369744
500,0.3,4,341136,327216,339208
500,0.3,5,337504,353072,365064
100,0.4,1,36608,68232,70624
100,0.4,2,34448,60088,62480
100,0.4,3,35088,67776,70168
100,0.4,4,35768,71312,73704
100,0.4,5,27720,61104,63496
200,0.4,1,74512,135584,140376
200,0.4,2,69664,125808,130600
200,0.4,3,80672,129272,134064
200,0.4,4,84376,141080,145872
200,0.4,5,93016,140576,145368
300,0.4,1,170656,221872,229064
300,0.4,2,138752,198464,205656
300,0.4,3,137496,198712,205904
300,0.4,4,143880,195456,202648
300,0.4,5,140912,215704,222896
400,0.4,1,216472,287224,296816
400,0.4,2,212720,285104,294696
400,0.4,3,226792,280552,290144
400,0.4,4,219176,267096,276688
400,0.4,5,225200,267536,277128
500,0.4,1,274544,352944,364936
500,0.4,2,296840,327856,339848
500,0.4,3,370920,364552,376544
500,0.4,4,306440,349608,361600
500,0.4,5,286808,356288,368280
100,0.5,1,39296,64200,66592
100,0.5,2,41064,63152,65544
100,0.5,3,46192,74376,76768
100,0.5,4,33200,65032,67424
100,0.5,5,34896,69016,71408
200,0.5,1,76368,126960,131752
200,0.5,2,89768,131360,136152
200,0.5,3,95344,141808,146600
200,0.5,4,76352,131432,136224
200,0.5,5,100296,152456,157248
300,0.5,1,158496,207144,214336
300,0.5,2,144768,210896,218088
300,0.5,3,127648,199088,206280
300,0.5,4,151368,214392,221584
300,0.5,5,166320,197600,204792
400,0.5,1,276792,302400,311992
400,0.5,2,235424,273240,282832
400,0.5,3,246232,271608,281200
400,0.5,4,212312,282256,291848
400,0.5,5,248512,295008,304600
500,0.5,1,354640,335880,347872
500,0.5,2,299168,344808,356800
500,0.5,3,279104,343360,355352
500,0.5,4,375320,332296,344288
500,0.5,5,296848,352400,364392
100,0.6,1,31000,68984,71376
100,0.6,2,33480,68992,71384
100,0.6,3,43328,80808,83200
100,0.6,4,35528,62896,65288
100,0.6,5,28864,60360,62752
200,0.6,1,95760,145408,150200
200,0.6,2,66920,124216,129008
200,0.6,3,96736,142872,147664
200,0.6,4,78904,132288,137080
200,0.6,5,79472,132816,137608
300,0.6,1,157880,201944,209136
300,0.6,2,188848,216592,223784
300,0.6,3,177560,219680,226872
300,0.6,4,150448,220200,227392
300,0.6,5,164888,205960,213152
400,0.6,1,246832,282192,291784
400,0.6,2,262464,278064,287656
400,0.6,3,203784,269760,279352
400,0.6,4,244824,289440,299032
400,0.6,5,243216,283464,293056
500,0.6,1,293656,341104,353096
500,0.6,2,304928,334224,346216
500,0.6,3,298744,346056,358048
500,0.6,4,345480,332056,344048
500,0.6,5,297960,342504,354496
100,0.7,1,37248,65968,68360
100,0.7,2,36384,70280,72672
100,0.7,3,34240,70400,72792
100,0.7,4,39344,72488,74880
100,0.7,5,47144,74608,77000
200,0.7,1,87432,131832,136624
200,0.7,2,95744,140936,145728
200,0.7,3,97016,139488,144280
200,0.7,4,76944,123056,127848
200,0.7,5,94576,143920,148712
300,0.7,1,172416,201192,208384
300,0.7,2,190600,218216,225408
300,0.7,3,151880,198880,206072
300,0.7,4,165728,217424,224616
300,0.7,5,122720,197144,204336
400,0.7,1,261840,285392,294984
400,0.7,2,224080,281968,291560
400,0.7,3,241728,293704,303296
400,0.7,4,237072,262712,272304
400,0.7,5,223240,279776,289368
500,0.7,1,354128,360184,372176
500,0.7,2,363576,362216,374208
500,0.7,3,327768,328016,340008
500,0.7,4,327848,345504,357496
500,0.7,5,328824,322624,334616
100,0.8,1,34712,65200,67592
100,0.8,2,33256,65928,68320
100,0.8,3,42328,76984,79376
100,0.8,4,35768,68560,70952
100,0.8,5,39528,60552,62944
200,0.8,1,106528,147752,152544
200,0.8,2,87256,150968,155760
200,0.8,3,89664,142280,147072
200,0.8,4,87280,137016,141808
200,0.8,5,86320,145312,150104
300,0.8,1,164632,213336,220528
300,0.8,2,155408,186632,193824
300,0.8,3,145600,187888,195080
300,0.8,4,160784,204720,211912
300,0.8,5,152304,205744,212936
400,0.8,1,216384,267136,276728
400,0.8,2,246248,278344,287936
400,0.8,3,251072,283904,293496
400,0.8,4,244456,262344,271936
400,0.8,5,212008,259440,269032
500,0.8,1,342624,340080,352072
500,0.8,2,329736,344176,356168
500,0.8,3,278168,339760,351752
500,0.8,4,306696,343648,355640
500,0.8,5,353968,338024,350016
100,0.9,1,35056,70176,72568
100,0.9,2,32576,63128,65520
100,0.9,3,48096,74992,77384
100,0.9,4,37392,69992,72384
100,0.9,5,35728,65520,67912
200,0.9,1,85216,140792,145584
200,0.9,2,80848,132944,137736
200,0.9,3,76984,126592,131384
200,0.9,4,85632,146184,150976
200,0.9,5,64184,121872,126664
300,0.9,1,163024,232056,239248
300,0.9,2,133968,196640,203832
300,0.9,3,148760,199656,206848
300,0.9,4,143632,221024,228216
300,0.9,5,155248,207824,215016
400,0.9,1,256712,278224,287816
400,0.9,2,210576,282632,292224
400,0.9,3,209560,265488,275080
400,0.9,4,246272,280816,290408
400,0.9,5,221392,276896,286488
500,0.9,1,314248,340312,352304
500,0.9,2,327952,356560,368552
500,0.9,3,252536,328256,340248
500,0.9,4,330112,344992,356984
500,0.9,5,338144,339536,351528
100,1.0,1,40672,65040,67432
100,1.0,2,44784,73880,76272
100,1.0,3,22584,54368,56760
100,1.0,4,29648,60160,62552
100,1.0,5,32248,61888,64280
200,1.0,1,97504,136144,140936
200,1.0,2,105024,142888,147680
200,1.0,3,67912,123944,128736
200,1.0,4,90432,134464,139256
200,1.0,5,92440,142448,147240
300,1.0,1,131064,216824,224016
300,1.0,2,142880,193248,200440
300,1.0,3,151040,196632,203824
300,1.0,4,143032,191400,198592
300,1.0,5,155768,193704,200896
400,1.0,1,223344,267280,276872
400,1.0,2,244808,262752,272344
400,1.0,3,264976,270576,280168
400,1.0,4,243832,280520,290112
400,1.0,5,258224,293736,303328
500,1.0,1,291408,334680,346672
500,1.0,2,319552,357992,369984
500,1.0,3,300456,333312,345304
500,1.0,4,332952,351128,363120
500,1.0,5,346184,357088,369080
