N,P,X,Cmap,ExecEnv
100,0.0,1,46528,78560
100,0.0,2,32776,77752
100,0.0,3,32840,73760
100,0.0,4,32888,74984
100,0.0,5,40000,79192
200,0.0,1,84664,157832
200,0.0,2,97784,153688
200,0.0,3,90128,151792
200,0.0,4,100368,149120
200,0.0,5,70968,143720
300,0.0,1,194248,231240
300,0.0,2,132072,205536
300,0.0,3,171488,229072
300,0.0,4,183760,227936
300,0.0,5,127872,199448
400,0.0,1,232472,311528
400,0.0,2,177368,289872
400,0.0,3,204344,295688
400,0.0,4,226472,298168
400,0.0,5,211696,278328
500,0.0,1,281336,388096
500,0.0,2,392456,365176
500,0.0,3,238552,379424
500,0.0,4,335008,358336
500,0.0,5,330904,382160
100,0.1,1,41560,79088
100,0.1,2,37600,72792
100,0.1,3,35224,66376
100,0.1,4,32336,71352
100,0.1,5,41368,83264
200,0.1,1,101328,152216
200,0.1,2,75824,147240
200,0.1,3,101024,157296
200,0.1,4,73016,136072
200,0.1,5,96088,166160
300,0.1,1,147136,220792
300,0.1,2,162064,225960
300,0.1,3,138480,206096
300,0.1,4,147472,231920
300,0.1,5,147360,222288
400,0.1,1,212880,293896
400,0.1,2,219184,294280
400,0.1,3,235704,276808
400,0.1,4,212632,278464
400,0.1,5,213432,301568
500,0.1,1,340768,359504
500,0.1,2,324256,356232
500,0.1,3,317184,364088
500,0.1,4,299216,378720
500,0.1,5,271776,351144
100,0.2,1,41704,75624
100,0.2,2,46352,82336
100,0.2,3,37520,77144
100,0.2,4,34480,62992
100,0.2,5,35576,65688
200,0.2,1,110456,158096
200,0.2,2,69176,133920
200,0.2,3,87336,139656
200,0.2,4,91704,145840
200,0.2,5,91728,143224
300,0.2,1,149728,220984
300,0.2,2,145640,209952
300,0.2,3,129528,216960
300,0.2,4,139960,228800
300,0.2,5,151704,229648
400,0.2,1,216488,300384
400,0.2,2,255272,313520
400,0.2,3,216520,297688
400,0.2,4,212416,292896
400,0.2,5,242688,306616
500,0.2,1,336632,382576
500,0.2,2,280232,356376
500,0.2,3,359560,383384
500,0.2,4,312320,381176
500,0.2,5,369120,363296
100,0.3,1,35360,62936
100,0.3,2,43784,80440
100,0.3,3,30776,70272
100,0.3,4,30808,78008
100,0.3,5,34176,75992
200,0.3,1,91000,157832
200,0.3,2,80784,148920
200,0.3,3,95872,154104
200,0.3,4,94008,153496
200,0.3,5,73224,136856
300,0.3,1,133240,225040
300,0.3,2,156120,220896
300,0.3,3,153856,223080
300,0.3,4,153984,223656
300,0.3,5,148536,234288
400,0.3,1,224040,318264
400,0.3,2,239864,285216
400,0.3,3,233232,301736
400,0.3,4,215576,295632
400,0.3,5,264672,311800
500,0.3,1,303440,364360
500,0.3,2,291672,355056
500,0.3,3,290712,364472
500,0.3,4,351176,367344
500,0.3,5,345776,384024
100,0.4,1,41744,70904
100,0.4,2,40792,81536
100,0.4,3,37560,71624
100,0.4,4,30400,74744
100,0.4,5,26544,68200
200,0.4,1,102080,149272
200,0.4,2,93232,154784
200,0.4,3,87400,141064
200,0.4,4,65568,150224
200,0.4,5,72648,144880
300,0.4,1,159920,226184
300,0.4,2,174024,224888
300,0.4,3,152128,224216
300,0.4,4,157936,225104
300,0.4,5,169512,231832
400,0.4,1,230232,293696
400,0.4,2,237800,297744
400,0.4,3,261416,296088
400,0.4,4,212872,289768
400,0.4,5,204408,291376
500,0.4,1,315640,356128
500,0.4,2,289616,363896
500,0.4,3,322512,358936
500,0.4,4,295152,379536
500,0.4,5,348376,376840
100,0.5,1,32936,71872
100,0.5,2,39368,75872
100,0.5,3,47560,78056
100,0.5,4,32536,68928
100,0.5,5,36264,77624
200,0.5,1,73480,144080
200,0.5,2,94392,152048
200,0.5,3,81880,143928
200,0.5,4,101664,146928
200,0.5,5,94792,139112
300,0.5,1,129592,228656
300,0.5,2,146016,216184
300,0.5,3,143248,231432
300,0.5,4,162720,229216
300,0.5,5,161200,243792
400,0.5,1,232336,287504
400,0.5,2,302168,296944
400,0.5,3,245832,298728
400,0.5,4,214216,287960
400,0.5,5,210736,300048
500,0.5,1,355768,384528
500,0.5,2,325024,390736
500,0.5,3,331672,386472
500,0.5,4,325512,382880
500,0.5,5,313184,376408
100,0.6,1,24256,75080
100,0.6,2,32680,71840
100,0.6,3,38392,70560
100,0.6,4,40088,85000
100,0.6,5,32656,69112
200,0.6,1,114632,155520
200,0.6,2,86592,145800
200,0.6,3,97760,147824
200,0.6,4,93440,139048
200,0.6,5,94736,144448
300,0.6,1,178048,225080
300,0.6,2,143048,229360
300,0.6,3,133368,206984
300,0.6,4,163936,215872
300,0.6,5,136632,215552
400,0.6,1,250936,296984
400,0.6,2,205992,297360
400,0.6,3,227456,304472
400,0.6,4,220280,278424
400,0.6,5,249000,287464
500,0.6,1,337536,392784
500,0.6,2,350576,376504
500,0.6,3,301328,354456
500,0.6,4,306088,358768
500,0.6,5,296184,375992
100,0.7,1,33336,67176
100,0.7,2,38048,67512
100,0.7,3,37208,75064
100,0.7,4,36376,72632
100,0.7,5,32480,72736
200,0.7,1,79704,139696
200,0.7,2,62552,135632
200,0.7,3,97104,143432
200,0.7,4,89904,155800
200,0.7,5,86792,138672
300,0.7,1,123528,222032
300,0.7,2,152880,225224
300,0.7,3,183656,229400
300,0.7,4,180864,236600
300,0.7,5,152008,208552
400,0.7,1,252656,313280
400,0.7,2,229672,308704
400,0.7,3,200968,273552
400,0.7,4,219488,298592
400,0.7,5,258864,294664
500,0.7,1,330672,357912
500,0.7,2,266976,363944
500,0.7,3,357280,386656
500,0.7,4,342800,384368
500,0.7,5,385816,382296
100,0.8,1,43080,73664
100,0.8,2,37232,75640
100,0.8,3,37832,75608
100,0.8,4,29256,71712
100,0.8,5,34680,79640
200,0.8,1,82280,144216
200,0.8,2,95464,152136
200,0.8,3,81568,141192
200,0.8,4,70896,130008
200,0.8,5,85064,152352
300,0.8,1,180560,232848
300,0.8,2,157816,221912
300,0.8,3,123304,208920
300,0.8,4,138760,220104
300,0.8,5,179824,224808
400,0.8,1,233224,282296
400,0.8,2,239352,311712
400,0.8,3,266168,289336
400,0.8,4,257984,289480
400,0.8,5,227896,316152
500,0.8,1,315792,376184
500,0.8,2,306576,363712
500,0.8,3,293072,374240
500,0.8,4,340160,387376
500,0.8,5,281056,368368
100,0.9,1,38728,74568
100,0.9,2,36512,75704
100,0.9,3,39928,77232
100,0.9,4,40840,75384
100,0.9,5,47248,71744
200,0.9,1,79472,148352
200,0.9,2,82400,146352
200,0.9,3,84232,153904
200,0.9,4,75816,147240
200,0.9,5,77008,129992
300,0.9,1,154696,227936
300,0.9,2,141288,208424
300,0.9,3,134176,221048
300,0.9,4,143984,220872
300,0.9,5,133456,227136
400,0.9,1,253296,310536
400,0.9,2,253656,307240
400,0.9,3,270552,308328
400,0.9,4,199016,280600
400,0.9,5,262200,307232
500,0.9,1,323320,367032
500,0.9,2,361824,388400
500,0.9,3,322264,348088
500,0.9,4,284136,375768
500,0.9,5,343192,369648
100,1.0,1,47072,74816
100,1.0,2,28496,75168
100,1.0,3,33704,70528
100,1.0,4,33208,66984
100,1.0,5,38016,72904
200,1.0,1,84680,154400
200,1.0,2,75544,147032
200,1.0,3,68232,141544
200,1.0,4,84184,153168
200,1.0,5,91952,145888
300,1.0,1,165160,240864
300,1.0,2,161928,215392
300,1.0,3,173256,228368
300,1.0,4,168352,229896
300,1.0,5,143920,210456
400,1.0,1,258360,286936
400,1.0,2,227024,301000
400,1.0,3,214416,301824
400,1.0,4,255152,298464
400,1.0,5,204616,275456
500,1.0,1,290528,371736
500,1.0,2,383192,393744
500,1.0,3,355616,394672
500,1.0,4,288880,357488
500,1.0,5,339448,377816
