N,P,X,Cmap,ExecEnv
40,0.0,5,22480,27576
41,0.0,1,43760,32456
41,0.0,2,65192,31488
41,0.0,3,38920,31064
41,0.0,4,30816,28456
41,0.0,5,31936,28872
42,0.0,1,31352,31384
42,0.0,2,39504,31056
42,0.0,3,38368,26992
42,0.0,4,20720,25752
42,0.0,5,35048,32968
43,0.0,1,37736,29656
43,0.0,2,20088,28480
43,0.0,3,30048,38496
43,0.0,4,45176,38456
43,0.0,5,22528,25816
44,0.0,1,41960,34880
44,0.0,2,47088,33688
44,0.0,3,15448,28384
44,0.0,4,30952,35912
44,0.0,5,39208,35984
45,0.0,1,49880,35680
45,0.0,2,47248,31768
45,0.0,3,32784,28088
45,0.0,4,30248,38088
45,0.0,5,42208,32832
46,0.0,1,13640,31432
46,0.0,2,47736,35912
46,0.0,3,40376,38448
46,0.0,4,35464,32296
46,0.0,5,31552,29688
47,0.0,1,32768,34704
47,0.0,2,26408,34720
47,0.0,3,55760,38336
47,0.0,4,51528,39424
47,0.0,5,62256,35280
48,0.0,1,39984,37000
48,0.0,2,38808,42304
48,0.0,3,41472,40288
48,0.0,4,40416,35328
48,0.0,5,42256,35504
49,0.0,1,25192,33424
49,0.0,2,23984,32640
49,0.0,3,25768,32072
49,0.0,4,43832,40520
49,0.0,5,28648,45024
50,0.0,1,51264,46768
50,0.0,2,45608,40240
50,0.0,3,54072,38768
50,0.0,4,22288,27728
50,0.0,5,38168,33680
51,0.0,1,70048,50656
51,0.0,2,51952,39400
51,0.0,3,20456,34792
51,0.0,4,59232,37768
51,0.0,5,42952,35712
52,0.0,1,30144,38592
52,0.0,2,43752,38832
52,0.0,3,38552,39376
52,0.0,4,60536,44216
52,0.0,5,65808,43448
53,0.0,1,58744,37000
53,0.0,2,25728,39728
53,0.0,3,23208,37120
53,0.0,4,45256,38136
53,0.0,5,45000,38056
54,0.0,1,58016,41304
54,0.0,2,42360,33120
54,0.0,3,64376,42944
54,0.0,4,37888,39304
54,0.0,5,57136,44000
55,0.0,1,37352,35760
55,0.0,2,43240,42880
55,0.0,3,59072,43456
55,0.0,4,38936,48200
55,0.0,5,42848,39328
56,0.0,1,79976,47960
56,0.0,2,48968,45736
56,0.0,3,46048,42448
56,0.0,4,41104,36440
56,0.0,5,67144,43704
57,0.0,1,50440,46312
57,0.0,2,56848,46432
57,0.0,3,48648,41144
57,0.0,4,42240,39200
57,0.0,5,52936,48624
58,0.0,1,28208,38168
58,0.0,2,45384,43752
58,0.0,3,51112,41744
58,0.0,4,51952,46064
58,0.0,5,26440,37424
59,0.0,1,40752,38160
59,0.0,2,62240,44600
59,0.0,3,45968,40928
59,0.0,4,29104,40784
59,0.0,5,38320,40352
60,0.0,1,53000,43784
60,0.0,2,47048,48040
60,0.0,3,38728,38728
60,0.0,4,63680,47936
60,0.0,5,28192,44768
61,0.0,1,57352,42736
61,0.0,2,69000,49912
61,0.0,3,49992,49512
61,0.0,4,54744,50008
61,0.0,5,41440,45568
62,0.0,1,39736,47704
62,0.0,2,36224,49472
62,0.0,3,41608,43440
62,0.0,4,46352,45504
62,0.0,5,61336,50672
63,0.0,1,55872,52048
63,0.0,2,80336,58488
63,0.0,3,72056,58792
63,0.0,4,40992,43624
63,0.0,5,52112,48504
64,0.0,1,45376,45680
64,0.0,2,40848,44696
64,0.0,3,42760,49984
64,0.0,4,58848,53744
64,0.0,5,59696,50392
65,0.0,1,77184,57536
65,0.0,2,61728,54448
65,0.0,3,33504,48608
65,0.0,4,35992,45440
65,0.0,5,42560,48960
66,0.0,1,36648,47704
66,0.0,2,40824,46920
66,0.0,3,53248,48696
66,0.0,4,56968,53608
66,0.0,5,92928,60400
67,0.0,1,49904,43824
67,0.0,2,62696,57688
67,0.0,3,69880,58136
67,0.0,4,50000,43552
67,0.0,5,66920,56072
68,0.0,1,49872,47296
68,0.0,2,50864,49200
