N,P,X,Filesize,Cachesize
40,0.0,5,20480,15944
41,0.0,1,20480,18696
41,0.0,2,24576,18616
41,0.0,3,20480,19856
41,0.0,4,20480,15848
41,0.0,5,20480,20232
42,0.0,1,20480,15824
42,0.0,2,20480,18272
42,0.0,3,20480,17360
42,0.0,4,20480,13656
42,0.0,5,20480,16688
43,0.0,1,20480,17064
43,0.0,2,20480,13896
43,0.0,3,20480,17608
43,0.0,4,24576,22472
43,0.0,5,20480,14744
44,0.0,1,20480,19712
44,0.0,2,24576,22704
44,0.0,3,20480,13888
44,0.0,4,20480,15008
44,0.0,5,20480,19640
45,0.0,1,24576,19936
45,0.0,2,20480,17024
45,0.0,3,20480,15352
45,0.0,4,20480,18408
45,0.0,5,20480,17384
46,0.0,1,20480,12616
46,0.0,2,24576,20168
46,0.0,3,24576,20280
46,0.0,4,20480,15424
46,0.0,5,20480,15952
47,0.0,1,20480,18032
47,0.0,2,20480,14208
47,0.0,3,24576,25208
47,0.0,4,24576,21512
47,0.0,5,24576,19400
48,0.0,1,24576,19760
48,0.0,2,24576,19720
48,0.0,3,24576,20048
48,0.0,4,20480,19168
48,0.0,5,20480,17704
49,0.0,1,20480,16608
49,0.0,2,20480,14280
49,0.0,3,20480,13744
49,0.0,4,24576,18944
49,0.0,5,20480,14480
50,0.0,1,24576,26376
50,0.0,2,24576,19360
50,0.0,3,24576,20256
50,0.0,4,20480,14688
50,0.0,5,24576,17408
51,0.0,1,24576,25416
51,0.0,2,24576,19888
51,0.0,3,20480,12312
51,0.0,4,24576,21544
51,0.0,5,24576,19120
52,0.0,1,20480,19440
52,0.0,2,24576,17848
52,0.0,3,20480,19088
52,0.0,4,24576,21928
52,0.0,5,24576,25800
53,0.0,1,24576,24352
53,0.0,2,20480,17120
53,0.0,3,20480,15664
53,0.0,4,24576,21008
53,0.0,5,20480,18024
54,0.0,1,24576,24624
54,0.0,2,20480,17064
54,0.0,3,24576,18224
54,0.0,4,24576,20408
54,0.0,5,24576,23688
55,0.0,1,20480,15640
55,0.0,2,24576,19160
55,0.0,3,24576,23008
55,0.0,4,24576,21896
55,0.0,5,20480,18360
56,0.0,1,28672,22760
56,0.0,2,24576,19568
56,0.0,3,24576,22816
56,0.0,4,24576,19232
56,0.0,5,24576,26120
57,0.0,1,24576,21512
57,0.0,2,24576,23624
57,0.0,3,24576,19912
57,0.0,4,24576,20128
57,0.0,5,24576,26280
58,0.0,1,24576,15472
58,0.0,2,24576,24448
58,0.0,3,24576,20304
58,0.0,4,24576,19496
58,0.0,5,20480,13528
59,0.0,1,24576,19608
59,0.0,2,24576,24840
59,0.0,3,24576,20256
59,0.0,4,20480,15952
59,0.0,5,20480,18304
60,0.0,1,24576,22832
60,0.0,2,24576,20864
60,0.0,3,24576,19688
60,0.0,4,28672,21400
60,0.0,5,20480,15472
61,0.0,1,24576,22080
61,0.0,2,28672,25648
61,0.0,3,24576,25848
61,0.0,4,24576,19424
61,0.0,5,24576,18352
62,0.0,1,24576,19920
62,0.0,2,24576,15792
62,0.0,3,24576,16816
62,0.0,4,24576,21080
62,0.0,5,24576,24120
63,0.0,1,24576,25224
63,0.0,2,24576,29320
63,0.0,3,28672,26912
63,0.0,4,24576,17760
63,0.0,5,24576,23768
