N,P,X,Cmap,Parents,Children
33,0.0,5,8968,17704,18488
34,0.0,1,17224,25888,26696
34,0.0,2,15400,24080,24888
34,0.0,3,10648,26360,27168
34,0.0,4,14384,22304,23112
34,0.0,5,15424,23312,24120
35,0.0,1,14976,26784,27616
35,0.0,2,9392,23360,24192
35,0.0,3,18768,26864,27696
35,0.0,4,13280,24280,25112
35,0.0,5,12664,24544,25376
36,0.0,1,15184,23128,24008
36,0.0,2,11528,20432,21288
36,0.0,3,18224,27920,28776
36,0.0,4,15920,27792,28648
36,0.0,5,12216,25792,26648
37,0.0,1,14392,24472,25352
37,0.0,2,14592,22528,23408
37,0.0,3,14272,28112,28992
37,0.0,4,16776,24952,25832
37,0.0,5,16760,29072,29952
38,0.0,1,14568,27624,28528
38,0.0,2,10592,23752,24656
38,0.0,3,16320,29552,30456
38,0.0,4,14616,26256,27160
38,0.0,5,13992,23096,24000
39,0.0,1,15840,25448,26376
39,0.0,2,14792,28120,29048
39,0.0,3,18200,34176,35104
39,0.0,4,21064,32656,33584
39,0.0,5,18456,33784,34712
40,0.0,1,14176,32440,33392
40,0.0,2,18848,29880,30832
40,0.0,3,15208,32032,32984
40,0.0,4,17832,28824,29776
40,0.0,5,14936,26640,27592
41,0.0,1,14408,27488,28464
41,0.0,2,16608,30968,31944
41,0.0,3,18240,25920,26896
41,0.0,4,20256,29632,30608
41,0.0,5,21208,31224,32200
42,0.0,1,19536,26592,27592
42,0.0,2,17400,32392,33392
42,0.0,3,17736,33168,34168
42,0.0,4,19136,30960,31960
42,0.0,5,17864,30776,31776
43,0.0,1,11712,24016,25040
43,0.0,2,13696,26648,27672
43,0.0,3,16216,26600,27624
43,0.0,4,14768,27800,28824
43,0.0,5,14408,25736,26760
44,0.0,1,17424,29296,30344
44,0.0,2,16688,31664,32712
44,0.0,3,18312,32856,33904
44,0.0,4,16976,29944,30992
44,0.0,5,16192,27336,28384
45,0.0,1,15672,31960,33032
45,0.0,2,16552,30080,31152
45,0.0,3,20864,34736,35808
45,0.0,4,20416,31552,32624
45,0.0,5,15280,30400,31472
46,0.0,1,17480,32928,34024
46,0.0,2,13520,29592,30688
46,0.0,3,17912,32528,33624
46,0.0,4,15016,31048,32144
46,0.0,5,19296,35232,36328
47,0.0,1,16792,37584,38704
47,0.0,2,10648,30152,31272
47,0.0,3,16152,30336,31456
47,0.0,4,23928,37120,38240
47,0.0,5,18880,33888,35008
48,0.0,1,22512,28912,30056
48,0.0,2,18704,30224,31368
48,0.0,3,18952,30832,31976
48,0.0,4,15056,32856,34000
48,0.0,5,19144,28016,29160
49,0.0,1,19768,33672,34840
49,0.0,2,24136,32560,33728
49,0.0,3,21416,38464,39632
49,0.0,4,14512,31344,32512
49,0.0,5,14608,32952,34120
50,0.0,1,16792,36080,37272
50,0.0,2,16200,41712,42904
50,0.0,3,20808,39352,40544
50,0.0,4,15848,39160,40352
50,0.0,5,23216,36040,37232
51,0.0,1,15696,32888,34104
51,0.0,2,23760,34368,35584
51,0.0,3,15928,37912,39128
51,0.0,4,24944,37600,38816
51,0.0,5,14912,37080,38296
52,0.0,1,16904,39856,41096
52,0.0,2,18656,32280,33520
52,0.0,3,21752,38328,39568
52,0.0,4,20992,32176,33416
52,0.0,5,22872,41096,42336
53,0.0,1,16472,32456,33720
53,0.0,2,16352,29432,30696
53,0.0,3,21560,38872,40136
53,0.0,4,19056,34320,35584
53,0.0,5,18008,37600,38864
54,0.0,1,20920,42360,43648
54,0.0,2,23632,37208,38496
54,0.0,3,20864,38496,39784
54,0.0,4,24256,44200,45488
54,0.0,5,22560,37552,38840
55,0.0,1,16952,34056,35368
55,0.0,2,19880,39056,40368
55,0.0,3,13456,31096,32408
55,0.0,4,22208,39416,40728
55,0.0,5,18416,36312,37624
56,0.0,1,20200,35496,36832
56,0.0,2,28152,46944,48280
56,0.0,3,15176,27704,29040
56,0.0,4,27728,44928,46264
56,0.0,5,21976,35032,36368
57,0.0,1,22752,39160,40520
57,0.0,2,24976,40064,41424
57,0.0,3,20088,41104,42464
57,0.0,4,19504,34672,36032
57,0.0,5,32720,40424,41784
58,0.0,1,29920,41784,43168
58,0.0,2,18888,36184,37568
