N,P,X,Cmap,Parents,Children
1,0.0,1,2056,16,16
1,0.0,2,2056,16,16
1,0.0,3,2056,16,16
1,0.0,4,2056,16,16
1,0.0,5,2056,16,16
2,0.0,1,2616,968,992
2,0.0,2,2464,3184,3224
2,0.0,3,2432,784,808
2,0.0,4,2080,704,728
2,0.0,5,2104,416,440
3,0.0,1,2128,1568,1616
3,0.0,2,2584,1240,1288
3,0.0,3,2104,2120,2168
3,0.0,4,2152,1896,1944
3,0.0,5,2472,1224,1272
4,0.0,1,4488,4576,4648
4,0.0,2,2800,1640,1712
4,0.0,3,2632,2504,2576
4,0.0,4,4328,3704,3792
4,0.0,5,2360,2648,2720
5,0.0,1,2552,2984,3080
5,0.0,2,2320,3056,3136
5,0.0,3,3416,3448,3544
5,0.0,4,2544,1928,2040
5,0.0,5,2392,2104,2184
6,0.0,1,4112,4744,4864
6,0.0,2,2920,5576,5680
6,0.0,3,4408,5168,5304
6,0.0,4,2304,8360,8496
6,0.0,5,3320,2864,2984
7,0.0,1,3352,5816,5976
7,0.0,2,4000,5112,5272
7,0.0,3,4000,5616,5776
7,0.0,4,7184,5776,5920
7,0.0,5,2800,4544,4688
8,0.0,1,5352,6176,6360
8,0.0,2,4256,6352,6536
8,0.0,3,3872,7184,7368
8,0.0,4,4720,6384,6568
8,0.0,5,3160,6272,6440
9,0.0,1,4424,4416,4608
9,0.0,2,7568,7048,7256
9,0.0,3,3552,5872,6064
9,0.0,4,4560,5368,5576
9,0.0,5,3576,8752,8960
10,0.0,1,6304,10512,10744
10,0.0,2,3856,4960,5192
10,0.0,3,5040,6600,6832
10,0.0,4,3168,7088,7320
10,0.0,5,5280,10240,10472
11,0.0,1,5520,6632,6872
11,0.0,2,5224,10136,10392
11,0.0,3,3288,5616,5872
11,0.0,4,6904,10336,10592
11,0.0,5,5888,5224,5464
12,0.0,1,3592,7256,7536
12,0.0,2,5032,8488,8768
12,0.0,3,5232,7464,7744
12,0.0,4,5816,10984,11248
12,0.0,5,5944,9368,9632
13,0.0,1,7624,8776,9064
13,0.0,2,4216,7528,7832
13,0.0,3,8656,13032,13336
13,0.0,4,3816,7184,7488
13,0.0,5,4144,10160,10448
14,0.0,1,4048,8664,8976
14,0.0,2,8016,10800,11128
14,0.0,3,5872,11568,11896
14,0.0,4,6384,12448,12776
14,0.0,5,2832,6232,6528
15,0.0,1,8256,14792,15144
15,0.0,2,4632,10640,10992
15,0.0,3,10160,14024,14360
15,0.0,4,5320,9344,9696
15,0.0,5,6352,11544,11896
16,0.0,1,6904,9080,9456
16,0.0,2,4936,11400,11776
16,0.0,3,4736,10664,11040
16,0.0,4,8632,13992,14368
16,0.0,5,7088,11776,12152
17,0.0,1,9424,13768,14168
17,0.0,2,6336,10688,11088
17,0.0,3,7664,12088,12488
17,0.0,4,4280,11032,11432
17,0.0,5,9432,14144,14544
18,0.0,1,4768,12224,12648
18,0.0,2,5432,11744,12168
18,0.0,3,3608,8992,9416
18,0.0,4,8240,12280,12688
18,0.0,5,7888,12744,13152
19,0.0,1,4328,8776,9224
19,0.0,2,8248,11624,12056
19,0.0,3,6824,12544,12992
19,0.0,4,5680,11120,11568
19,0.0,5,7744,15328,15776
20,0.0,1,6872,14208,14680
20,0.0,2,9240,17568,18040
20,0.0,3,7984,16880,17352
20,0.0,4,3336,14504,14976
20,0.0,5,6880,11576,12032
21,0.0,1,11248,15696,16192
21,0.0,2,6816,11520,12000
21,0.0,3,6608,11696,12176
21,0.0,4,6648,17152,17648
21,0.0,5,12208,18064,18560
22,0.0,1,13656,19520,20040
22,0.0,2,8592,15480,16000
22,0.0,3,8144,16824,17344
22,0.0,4,6016,10560,11080
22,0.0,5,9496,19336,19856
23,0.0,1,7616,18632,19176
23,0.0,2,7640,17104,17648
23,0.0,3,10704,16824,17368
23,0.0,4,5800,16832,17376
23,0.0,5,9792,17296,17840
24,0.0,1,10992,19712,20280
24,0.0,2,10824,15592,16160
24,0.0,3,7200,13288,13856
24,0.0,4,7776,17408,17976
24,0.0,5,8528,13176,13752
25,0.0,1,5552,13104,13696
25,0.0,2,12408,19040,19632
25,0.0,3,10584,19184,19776
25,0.0,4,12976,21064,21656
25,0.0,5,11256,20376,20992
26,0.0,1,7304,11736,12336
26,0.0,2,9160,15408,16048
26,0.0,3,6880,16456,17072
26,0.0,4,12400,17872,18488
26,0.0,5,12208,17400,18016
27,0.0,1,7840,19856,20496
27,0.0,2,11224,19408,20048
27,0.0,3,9408,18376,19016
27,0.0,4,8472,16176,16816
27,0.0,5,12200,24944,25584
28,0.0,1,8392,18544,19208
28,0.0,2,10912,17744,18408
28,0.0,3,10056,19304,19968
28,0.0,4,12248,19744,20408
28,0.0,5,14600,26584,27248
29,0.0,1,16152,23232,23920
29,0.0,2,11360,21352,22040
29,0.0,3,8352,17776,18464
29,0.0,4,8704,18360,19048
29,0.0,5,10784,23304,23992
30,0.0,1,11688,24752,25464
30,0.0,2,8984,20512,21224
30,0.0,3,7152,17360,18072
30,0.0,4,11568,19072,19784
30,0.0,5,9368,17016,17728
31,0.0,1,10744,21168,21904
31,0.0,2,11208,20168,20904
31,0.0,3,12384,20200,20936
31,0.0,4,10424,21512,22248
31,0.0,5,16256,25840,26576
32,0.0,1,14104,29144,29904
32,0.0,2,12136,22952,23712
