N,P,X,Cmap,ExecEnv
40,0.0,5,14864,28968
41,0.0,1,14408,29824
41,0.0,2,16608,33352
41,0.0,3,18192,28304
41,0.0,4,20184,32016
41,0.0,5,21200,33560
42,0.0,1,19512,29032
42,0.0,2,17400,34832
42,0.0,3,17736,35608
42,0.0,4,19112,33400
42,0.0,5,17864,33216
43,0.0,1,11712,26488
43,0.0,2,13744,29144
43,0.0,3,16264,29096
43,0.0,4,14792,30296
43,0.0,5,14408,28232
44,0.0,1,17424,31848
44,0.0,2,16680,34216
44,0.0,3,18312,35408
44,0.0,4,16952,32496
44,0.0,5,16144,29888
45,0.0,1,15648,34568
45,0.0,2,16552,32688
45,0.0,3,20848,37368
45,0.0,4,20424,34160
45,0.0,5,15184,33008
46,0.0,1,17480,35592
46,0.0,2,13520,32256
46,0.0,3,17936,35192
46,0.0,4,14976,33712
46,0.0,5,19296,37896
47,0.0,1,16816,40304
47,0.0,2,10648,32872
47,0.0,3,16152,33056
47,0.0,4,23872,39840
47,0.0,5,18856,36608
48,0.0,1,22368,31688
48,0.0,2,18704,33000
48,0.0,3,18952,33608
48,0.0,4,15104,35632
48,0.0,5,19144,30792
49,0.0,1,19768,36504
49,0.0,2,24040,35344
49,0.0,3,21352,41296
49,0.0,4,14512,34176
49,0.0,5,14608,35784
50,0.0,1,16792,38968
50,0.0,2,16176,44576
50,0.0,3,20664,42240
50,0.0,4,15832,42048
50,0.0,5,23216,38928
51,0.0,1,15672,35832
51,0.0,2,23760,37312
51,0.0,3,15904,40856
51,0.0,4,24880,40544
51,0.0,5,14912,40024
52,0.0,1,16904,42856
52,0.0,2,18656,35280
52,0.0,3,21704,41328
52,0.0,4,21016,35176
52,0.0,5,22872,44096
53,0.0,1,16512,35512
53,0.0,2,16352,32488
53,0.0,3,21584,41928
53,0.0,4,19032,37376
53,0.0,5,18056,40656
54,0.0,1,20944,45472
54,0.0,2,23632,40320
54,0.0,3,20848,41608
54,0.0,4,24256,47312
54,0.0,5,22536,40664
55,0.0,1,16928,37224
55,0.0,2,19816,42224
55,0.0,3,13504,34264
55,0.0,4,22232,42584
55,0.0,5,18392,39480
56,0.0,1,20176,38720
56,0.0,2,28128,50168
56,0.0,3,15200,30928
56,0.0,4,27752,48152
