N,P,Size
1,0.5,6688
2,0.5,7024
3,0.5,7280
4,0.5,7488
5,0.5,7776
6,0.5,8048
7,0.5,8256
8,0.5,8560
9,0.5,8768
10,0.5,9040
11,0.5,9312
12,0.5,9520
13,0.5,9840
14,0.5,10096
15,0.5,10352
16,0.5,10592
17,0.5,10832
18,0.5,11104
19,0.5,11344
20,0.5,11648
21,0.5,11872
22,0.5,12144
23,0.5,12400
24,0.5,12608
25,0.5,12992
26,0.5,13136
27,0.5,13424
28,0.5,13632
29,0.5,13936
30,0.5,14208
31,0.5,14464
32,0.5,14672
33,0.5,14960
34,0.5,15264
35,0.5,15536
36,0.5,15744
37,0.5,16032
38,0.5,16336
39,0.5,16384
40,0.5,16832
41,0.5,17120
42,0.5,17232
43,0.5,17568
44,0.5,17856
45,0.5,18176
46,0.5,18384
47,0.5,18608
48,0.5,18960
49,0.5,19184
50,0.5,19360
51,0.5,19712
52,0.5,19840
53,0.5,20144
54,0.5,20496
55,0.5,20688
56,0.5,20928
57,0.5,21248
58,0.5,21488
59,0.5,21760
60,0.5,22000
61,0.5,22256
62,0.5,22560
63,0.5,22784
64,0.5,23104
65,0.5,23440
66,0.5,23696
67,0.5,23760
68,0.5,24144
69,0.5,24464
70,0.5,24672
71,0.5,24880
72,0.5,25104
73,0.5,25360
74,0.5,25648
75,0.5,26000
76,0.5,26080
77,0.5,26672
78,0.5,26672
79,0.5,27056
80,0.5,27280
81,0.5,27488
82,0.5,27776
83,0.5,28112
84,0.5,28416
85,0.5,28640
86,0.5,28928
87,0.5,29184
88,0.5,29312
89,0.5,29584
90,0.5,29952
91,0.5,30112
92,0.5,30384
93,0.5,30688
94,0.5,30976
95,0.5,31296
96,0.5,31584
97,0.5,31904
98,0.5,32016
99,0.5,32304
100,0.5,32464
101,0.5,32752
102,0.5,33024
103,0.5,33376
104,0.5,33552
105,0.5,33744
106,0.5,34160
107,0.5,34368
108,0.5,34544
109,0.5,34928
110,0.5,35280
111,0.5,35536
112,0.5,35808
113,0.5,36080
114,0.5,36224
115,0.5,36416
116,0.5,36816
117,0.5,37024
118,0.5,37056
119,0.5,37488
120,0.5,37760
121,0.5,38112
122,0.5,38304
123,0.5,38736
124,0.5,38768
125,0.5,38928
126,0.5,39376
127,0.5,39616
128,0.5,39984
129,0.5,40224
130,0.5,40464
131,0.5,40832
132,0.5,41056
133,0.5,41200
134,0.5,41408
135,0.5,41776
136,0.5,41936
137,0.5,42288
138,0.5,42400
139,0.5,42832
140,0.5,43104
141,0.5,43392
142,0.5,43552
143,0.5,43856
144,0.5,44080
145,0.5,44272
146,0.5,44624
147,0.5,44880
148,0.5,44976
149,0.5,45344
150,0.5,45632
151,0.5,46048
152,0.5,46320
153,0.5,46288
154,0.5,46816
155,0.5,46976
156,0.5,47344
157,0.5,47616
158,0.5,47744
159,0.5,47920
160,0.5,48528
161,0.5,48608
162,0.5,48768
163,0.5,49136
164,0.5,49344
165,0.5,49552
166,0.5,49808
167,0.5,50192
168,0.5,50464
169,0.5,50592
170,0.5,50928
171,0.5,51216
172,0.5,51408
173,0.5,51728
174,0.5,52016
175,0.5,52320
176,0.5,52576
177,0.5,52752
178,0.5,53056
179,0.5,53136
180,0.5,53488
181,0.5,53904
182,0.5,54064
183,0.5,54096
184,0.5,54688
185,0.5,54816
186,0.5,55104
187,0.5,55520
188,0.5,55712
189,0.5,55968
190,0.5,56112
191,0.5,56576
192,0.5,56752
193,0.5,56864
194,0.5,57072
195,0.5,57520
196,0.5,57968
197,0.5,58080
198,0.5,58320
199,0.5,58512
200,0.5,58720
201,0.5,59296
202,0.5,59360
203,0.5,59776
204,0.5,59760
205,0.5,60176
206,0.5,60464
207,0.5,60624
208,0.5,61040
209,0.5,61072
210,0.5,61344
211,0.5,61712
212,0.5,62112
213,0.5,62176
214,0.5,62640
215,0.5,62640
216,0.5,62896
217,0.5,63328
218,0.5,63552
219,0.5,63632
220,0.5,64096
221,0.5,64544
222,0.5,64784
223,0.5,65024
224,0.5,65104
225,0.5,65488
226,0.5,65840
227,0.5,65984
228,0.5,66192
229,0.5,66336
230,0.5,66672
231,0.5,66944
232,0.5,67056
233,0.5,67696
234,0.5,67632
235,0.5,68224
236,0.5,68256
237,0.5,68640
238,0.5,68736
239,0.5,69184
240,0.5,69488
241,0.5,69744
