N,P,Size
356,0.5,192488
357,0.5,192096
358,0.5,208112
359,0.5,192160
360,0.5,185872
361,0.5,187432
362,0.5,189944
363,0.5,203176
364,0.5,186696
365,0.5,200200
366,0.5,198976
367,0.5,198056
368,0.5,187208
369,0.5,198464
370,0.5,209072
371,0.5,211048
372,0.5,199320
373,0.5,174848
374,0.5,203384
375,0.5,211504
376,0.5,200640
377,0.5,194320
378,0.5,235632
379,0.5,191544
380,0.5,192328
381,0.5,206144
382,0.5,206912
383,0.5,208672
384,0.5,195512
385,0.5,222960
386,0.5,195432
387,0.5,179752
388,0.5,206720
389,0.5,208904
390,0.5,215624
391,0.5,212360
392,0.5,212448
393,0.5,217648
394,0.5,209616
395,0.5,203144
396,0.5,204768
397,0.5,212096
398,0.5,204840
399,0.5,216008
400,0.5,231016
401,0.5,209072
402,0.5,213480
403,0.5,234304
404,0.5,239608
405,0.5,220872
406,0.5,197704
407,0.5,189352
408,0.5,219976
409,0.5,221024
410,0.5,207392
411,0.5,259176
412,0.5,213320
413,0.5,212552
414,0.5,219056
415,0.5,248248
416,0.5,224768
417,0.5,216064
418,0.5,229880
419,0.5,210296
420,0.5,217992
421,0.5,224312
422,0.5,205768
423,0.5,235360
424,0.5,222568
425,0.5,249016
426,0.5,242424
427,0.5,221424
428,0.5,225904
429,0.5,220976
430,0.5,221976
431,0.5,226480
432,0.5,252576
433,0.5,224648
434,0.5,224136
435,0.5,229128
436,0.5,233648
437,0.5,232680
438,0.5,222976
439,0.5,242032
440,0.5,243136
441,0.5,240320
442,0.5,229504
443,0.5,241832
444,0.5,235488
445,0.5,233576
446,0.5,246952
447,0.5,228880
448,0.5,254504
449,0.5,243640
450,0.5,239888
451,0.5,241672
452,0.5,237240
453,0.5,243400
454,0.5,231600
455,0.5,237936
456,0.5,232992
457,0.5,265984
458,0.5,220640
459,0.5,240208
460,0.5,264552
461,0.5,277648
462,0.5,251600
463,0.5,258128
464,0.5,229312
465,0.5,257712
466,0.5,258304
467,0.5,260768
468,0.5,236320
469,0.5,234888
470,0.5,259008
471,0.5,240808
472,0.5,247792
473,0.5,277664
474,0.5,241896
475,0.5,264152
476,0.5,254296
477,0.5,296240
478,0.5,283864
479,0.5,273216
480,0.5,267568
481,0.5,277544
482,0.5,247728
483,0.5,263168
484,0.5,242144
485,0.5,243048
486,0.5,279256
487,0.5,249664
488,0.5,236392
489,0.5,282224
490,0.5,259272
491,0.5,248496
492,0.5,276368
493,0.5,246008
494,0.5,278104
495,0.5,269848
496,0.5,269344
497,0.5,242568
498,0.5,264792
499,0.5,316960
500,0.5,280128
501,0.5,288688
502,0.5,275016
503,0.5,267232
504,0.5,291616
505,0.5,277128
506,0.5,277632
507,0.5,293920
508,0.5,274496
509,0.5,266136
510,0.5,292616
511,0.5,278664
512,0.5,270416
513,0.5,280040
514,0.5,281088
515,0.5,299712
516,0.5,275624
517,0.5,286072
518,0.5,255088
519,0.5,260624
520,0.5,298128
521,0.5,270936
522,0.5,277952
523,0.5,284120
524,0.5,273640
525,0.5,283592
526,0.5,287528
527,0.5,252320
528,0.5,267376
529,0.5,303432
530,0.5,298048
531,0.5,281656
532,0.5,274008
533,0.5,282768
534,0.5,276392
535,0.5,292536
536,0.5,289648
537,0.5,295216
538,0.5,315416
539,0.5,287560
540,0.5,304944
541,0.5,309784
542,0.5,318720
543,0.5,294856
544,0.5,301112
545,0.5,299448
546,0.5,278568
547,0.5,283232
548,0.5,265568
549,0.5,309688
550,0.5,273840
551,0.5,316672
552,0.5,289936
553,0.5,314896
554,0.5,290928
555,0.5,292024
556,0.5,305800
557,0.5,306728
558,0.5,285512
559,0.5,302248
560,0.5,297368
561,0.5,288152
562,0.5,318800
563,0.5,279544
564,0.5,284752
565,0.5,282496
566,0.5,337040
567,0.5,318272
568,0.5,302128
569,0.5,326736
570,0.5,311752
571,0.5,320712
572,0.5,323872
573,0.5,314272
574,0.5,300464
575,0.5,287424
576,0.5,301928
577,0.5,306688
578,0.5,285328
579,0.5,312352
580,0.5,288592
581,0.5,335696
582,0.5,324984
583,0.5,344064
584,0.5,304480
585,0.5,298328
586,0.5,306672
587,0.5,305312
588,0.5,306976
589,0.5,317576
590,0.5,311168
591,0.5,328456
592,0.5,347488
593,0.5,315544
594,0.5,316880
595,0.5,329872
596,0.5,316648
597,0.5,309168
598,0.5,322088
599,0.5,350880
600,0.5,324888
601,0.5,334816
602,0.5,296960
603,0.5,338432
604,0.5,334328
605,0.5,341744
606,0.5,335144
607,0.5,317264
608,0.5,341616
609,0.5,316904
610,0.5,352328
611,0.5,344368
612,0.5,357376
613,0.5,329192
614,0.5,327504
615,0.5,323592
616,0.5,348696
617,0.5,335320
618,0.5,330272
619,0.5,313088
620,0.5,361160
621,0.5,346768
622,0.5,325376
623,0.5,337424
624,0.5,332464
625,0.5,333544
626,0.5,329152
627,0.5,341936
628,0.5,341400
629,0.5,341952
630,0.5,360856
631,0.5,340904
632,0.5,319696
633,0.5,347320
634,0.5,348376
635,0.5,349664
636,0.5,356192
637,0.5,323976
638,0.5,336496
639,0.5,353840
640,0.5,360232
641,0.5,352752
642,0.5,330224
643,0.5,339416
644,0.5,323952
645,0.5,342040
646,0.5,338288
647,0.5,359160
648,0.5,349656
649,0.5,353088
650,0.5,340616
651,0.5,337968
652,0.5,352616
653,0.5,341616
654,0.5,360288
655,0.5,344424
656,0.5,358760
657,0.5,329664
658,0.5,350144
659,0.5,351952
660,0.5,357736
661,0.5,338072
662,0.5,357640
663,0.5,354288
664,0.5,357904
665,0.5,375656
666,0.5,383944
667,0.5,360488
668,0.5,389664
669,0.5,377112
670,0.5,378904
671,0.5,347600
672,0.5,347248
673,0.5,374880
674,0.5,365448
675,0.5,368568
676,0.5,354376
677,0.5,340360
678,0.5,372320
679,0.5,343576
680,0.5,350792
681,0.5,364528
682,0.5,367320
683,0.5,369464
684,0.5,359984
